Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(2, 5)","(5, 3)",25,Yes
Trial 1,"(8, 2)","(5, 5)",30,Yes
Trial 2,"(6, 5)","(5, 1)",25,Yes
Trial 3,"(5, 3)","(1, 4)",25,No
Trial 4,"(3, 2)","(1, 5)",25,Yes
Trial 5,"(1, 4)","(7, 5)",35,Yes
Trial 6,"(8, 1)","(2, 3)",40,Yes
Trial 7,"(5, 5)","(3, 2)",25,No
Trial 8,"(1, 4)","(4, 2)",25,Yes
Trial 9,"(1, 3)","(3, 1)",20,Yes
Trial 10,"(5, 6)","(8, 5)",20,No
Trial 11,"(1, 6)","(7, 5)",35,Yes
Trial 12,"(5, 5)","(3, 1)",30,Yes
Trial 13,"(6, 1)","(5, 5)",25,Yes
Trial 14,"(6, 2)","(2, 4)",30,No
Trial 15,"(3, 5)","(8, 1)",45,Yes
Trial 16,"(4, 3)","(6, 6)",25,No
Trial 17,"(4, 2)","(8, 4)",30,Yes
Trial 18,"(7, 5)","(7, 1)",20,No
Trial 19,"(8, 1)","(1, 4)",50,Yes
Trial 20,"(3, 2)","(7, 4)",30,Yes
Trial 21,"(7, 5)","(1, 5)",30,Yes
Trial 22,"(1, 2)","(4, 1)",20,Yes
Trial 23,"(6, 1)","(4, 5)",30,Yes
Trial 24,"(4, 1)","(1, 2)",20,No
Trial 25,"(7, 4)","(3, 3)",25,Yes
Trial 26,"(3, 4)","(7, 2)",30,Yes
Trial 27,"(1, 3)","(8, 2)",40,Yes
Trial 28,"(4, 5)","(7, 6)",20,Yes
Trial 29,"(8, 6)","(3, 1)",50,Yes
Trial 30,"(8, 1)","(4, 3)",30,Yes
Trial 31,"(3, 6)","(8, 3)",40,Yes
Trial 32,"(4, 6)","(8, 4)",30,Yes
Trial 33,"(5, 5)","(1, 3)",30,Yes
Trial 34,"(8, 4)","(2, 5)",35,Yes
Trial 35,"(2, 5)","(7, 4)",30,No
Trial 36,"(4, 6)","(2, 4)",20,Yes
Trial 37,"(4, 2)","(1, 1)",20,No
Trial 38,"(6, 5)","(1, 1)",45,Yes
Trial 39,"(2, 6)","(7, 5)",30,Yes
Trial 40,"(6, 4)","(8, 6)",20,Yes
Trial 41,"(7, 1)","(8, 5)",25,Yes
Trial 42,"(5, 3)","(8, 2)",20,No
Trial 43,"(6, 2)","(3, 3)",20,Yes
Trial 44,"(8, 6)","(4, 5)",25,No
Trial 45,"(8, 3)","(2, 1)",40,Yes
Trial 46,"(2, 2)","(7, 2)",25,No
Trial 47,"(7, 4)","(4, 5)",20,Yes
Trial 48,"(1, 5)","(6, 6)",30,Yes
Trial 49,"(6, 4)","(1, 1)",40,No
Trial 50,"(3, 1)","(1, 3)",20,Yes
Trial 51,"(5, 3)","(8, 5)",25,Yes
Trial 52,"(6, 6)","(8, 4)",20,No
Trial 53,"(8, 2)","(3, 5)",40,Yes
Trial 54,"(5, 2)","(1, 1)",25,Yes
Trial 55,"(4, 4)","(6, 6)",20,Yes
Trial 56,"(6, 4)","(2, 6)",30,Yes
Trial 57,"(2, 6)","(6, 1)",45,Yes
Trial 58,"(3, 1)","(8, 1)",25,No
Trial 59,"(2, 5)","(6, 5)",20,Yes
Trial 60,"(1, 6)","(8, 1)",60,Yes
Trial 61,"(7, 2)","(3, 5)",35,Yes
Trial 62,"(6, 5)","(8, 2)",25,Yes
Trial 63,"(7, 5)","(7, 1)",20,Yes
Trial 64,"(2, 5)","(3, 2)",20,Yes
Trial 65,"(3, 5)","(5, 1)",30,Yes
Trial 66,"(6, 5)","(2, 4)",25,Yes
Trial 67,"(2, 3)","(5, 4)",20,Yes
Trial 68,"(6, 4)","(4, 1)",25,No
Trial 69,"(4, 2)","(2, 6)",30,No
Trial 70,"(6, 1)","(3, 6)",40,Yes
Trial 71,"(3, 4)","(7, 6)",30,No
Trial 72,"(3, 6)","(6, 2)",35,Yes
Trial 73,"(6, 4)","(4, 2)",20,No
Trial 74,"(2, 2)","(6, 4)",30,Yes
Trial 75,"(3, 5)","(8, 1)",45,No
Trial 76,"(8, 5)","(1, 2)",50,No
Trial 77,"(2, 6)","(6, 5)",25,Yes
Trial 78,"(2, 3)","(6, 6)",35,Yes
Trial 79,"(7, 2)","(4, 4)",25,No
Trial 80,"(5, 5)","(6, 1)",25,No
Trial 81,"(2, 5)","(3, 2)",20,Yes
Trial 82,"(5, 4)","(1, 5)",25,No
Trial 83,"(8, 5)","(4, 1)",40,Yes
Trial 84,"(2, 5)","(7, 2)",40,No
Trial 85,"(8, 4)","(2, 3)",35,Yes
Trial 86,"(6, 6)","(2, 3)",35,Yes
Trial 87,"(4, 3)","(8, 1)",30,No
Trial 88,"(2, 6)","(6, 4)",30,No
Trial 89,"(6, 6)","(8, 1)",35,Yes
Trial 90,"(7, 6)","(8, 1)",30,Yes
Trial 91,"(8, 4)","(4, 6)",30,Yes
Trial 92,"(1, 6)","(8, 4)",45,Yes
Trial 93,"(6, 3)","(3, 2)",20,Yes
Trial 94,"(5, 4)","(8, 2)",25,No
Trial 95,"(5, 6)","(7, 4)",20,Yes
Trial 96,"(8, 6)","(4, 3)",35,No
Trial 97,"(2, 4)","(8, 6)",40,No
Trial 98,"(1, 2)","(5, 4)",30,Yes
Trial 99,"(1, 2)","(5, 2)",20,No
