Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(2, 4)","(8, 5)",35,Yes
Trial 1,"(8, 3)","(7, 6)",20,Yes
Trial 2,"(3, 3)","(8, 6)",40,Yes
Trial 3,"(5, 3)","(7, 1)",20,Yes
Trial 4,"(7, 5)","(3, 3)",30,Yes
Trial 5,"(4, 1)","(2, 3)",20,Yes
Trial 6,"(3, 3)","(6, 5)",25,Yes
Trial 7,"(6, 4)","(7, 1)",20,Yes
Trial 8,"(5, 5)","(6, 1)",25,Yes
Trial 9,"(8, 1)","(8, 5)",20,No
Trial 10,"(2, 4)","(6, 5)",25,Yes
Trial 11,"(5, 1)","(7, 6)",35,Yes
Trial 12,"(7, 2)","(4, 1)",20,Yes
Trial 13,"(1, 6)","(8, 4)",45,Yes
Trial 14,"(1, 6)","(7, 1)",55,Yes
Trial 15,"(3, 3)","(7, 4)",25,Yes
Trial 16,"(8, 2)","(3, 1)",30,Yes
Trial 17,"(5, 2)","(8, 6)",35,Yes
Trial 18,"(8, 1)","(5, 6)",40,Yes
Trial 19,"(5, 6)","(8, 3)",30,Yes
Trial 20,"(2, 1)","(7, 3)",35,Yes
Trial 21,"(4, 4)","(8, 5)",25,Yes
Trial 22,"(1, 2)","(5, 6)",40,Yes
Trial 23,"(5, 4)","(3, 6)",20,Yes
Trial 24,"(3, 6)","(6, 4)",25,Yes
Trial 25,"(6, 5)","(7, 2)",20,Yes
Trial 26,"(4, 4)","(7, 2)",25,Yes
Trial 27,"(2, 3)","(8, 5)",40,Yes
Trial 28,"(8, 5)","(2, 6)",35,Yes
Trial 29,"(7, 1)","(3, 3)",30,Yes
Trial 30,"(6, 4)","(1, 5)",30,Yes
Trial 31,"(5, 6)","(5, 2)",20,Yes
Trial 32,"(6, 5)","(5, 2)",20,Yes
Trial 33,"(5, 5)","(8, 3)",25,No
Trial 34,"(1, 5)","(5, 3)",30,Yes
Trial 35,"(2, 5)","(4, 1)",30,Yes
Trial 36,"(6, 2)","(3, 3)",20,Yes
Trial 37,"(3, 4)","(8, 4)",25,Yes
Trial 38,"(5, 2)","(1, 3)",25,No
Trial 39,"(4, 3)","(8, 2)",25,Yes
Trial 40,"(5, 2)","(7, 5)",25,Yes
Trial 41,"(7, 3)","(4, 5)",25,Yes
Trial 42,"(5, 3)","(8, 6)",30,Yes
Trial 43,"(4, 3)","(3, 6)",20,Yes
Trial 44,"(4, 3)","(8, 6)",35,Yes
Trial 45,"(2, 6)","(5, 2)",35,Yes
Trial 46,"(7, 6)","(7, 1)",25,Yes
Trial 47,"(8, 5)","(4, 1)",40,Yes
Trial 48,"(4, 1)","(8, 6)",45,Yes
Trial 49,"(3, 2)","(1, 4)",20,No
Trial 50,"(4, 1)","(8, 2)",25,Yes
Trial 51,"(7, 1)","(3, 1)",20,Yes
Trial 52,"(1, 4)","(7, 5)",35,Yes
Trial 53,"(2, 6)","(7, 6)",25,Yes
Trial 54,"(8, 1)","(5, 2)",20,Yes
Trial 55,"(3, 2)","(8, 2)",25,Yes
Trial 56,"(1, 2)","(6, 1)",30,Yes
Trial 57,"(4, 1)","(1, 3)",25,Yes
Trial 58,"(4, 2)","(6, 6)",30,Yes
Trial 59,"(8, 4)","(2, 3)",35,Yes
Trial 60,"(4, 1)","(7, 3)",25,Yes
Trial 61,"(2, 2)","(5, 3)",20,Yes
Trial 62,"(2, 4)","(8, 3)",35,Yes
Trial 63,"(5, 1)","(2, 4)",30,Yes
Trial 64,"(8, 4)","(6, 2)",20,Yes
Trial 65,"(6, 5)","(4, 2)",25,Yes
Trial 66,"(2, 1)","(8, 4)",45,Yes
Trial 67,"(2, 3)","(4, 5)",20,Yes
Trial 68,"(2, 2)","(5, 4)",25,Yes
Trial 69,"(7, 5)","(6, 2)",20,Yes
Trial 70,"(6, 1)","(3, 2)",20,Yes
Trial 71,"(7, 5)","(4, 4)",20,Yes
Trial 72,"(5, 6)","(3, 2)",30,Yes
Trial 73,"(7, 1)","(8, 6)",30,Yes
Trial 74,"(5, 2)","(7, 4)",20,Yes
Trial 75,"(1, 2)","(6, 3)",30,Yes
Trial 76,"(5, 4)","(8, 3)",20,Yes
Trial 77,"(1, 6)","(5, 5)",25,Yes
Trial 78,"(5, 6)","(7, 2)",30,Yes
Trial 79,"(6, 5)","(2, 2)",35,Yes
Trial 80,"(8, 4)","(4, 4)",20,Yes
Trial 81,"(7, 4)","(6, 1)",20,Yes
Trial 82,"(1, 2)","(4, 4)",25,Yes
Trial 83,"(1, 1)","(1, 6)",25,Yes
Trial 84,"(1, 2)","(4, 1)",20,Yes
Trial 85,"(4, 5)","(7, 2)",30,Yes
Trial 86,"(4, 3)","(6, 6)",25,Yes
Trial 87,"(2, 3)","(7, 6)",40,Yes
Trial 88,"(5, 3)","(2, 2)",20,Yes
Trial 89,"(1, 4)","(7, 5)",35,Yes
Trial 90,"(1, 5)","(7, 1)",50,Yes
Trial 91,"(2, 4)","(7, 2)",35,Yes
Trial 92,"(8, 3)","(6, 1)",20,Yes
Trial 93,"(4, 2)","(8, 3)",25,Yes
Trial 94,"(1, 2)","(6, 5)",40,Yes
Trial 95,"(8, 5)","(3, 4)",30,Yes
Trial 96,"(2, 5)","(7, 3)",35,Yes
Trial 97,"(6, 5)","(2, 2)",35,Yes
Trial 98,"(7, 5)","(4, 2)",30,Yes
Trial 99,"(2, 4)","(8, 6)",40,Yes
