Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(7, 6)","(3, 3)",35,Yes
Trial 1,"(3, 1)","(8, 1)",25,No
Trial 2,"(1, 3)","(7, 3)",30,Yes
Trial 3,"(5, 4)","(4, 1)",20,No
Trial 4,"(3, 5)","(2, 2)",20,No
Trial 5,"(8, 2)","(1, 6)",55,No
Trial 6,"(7, 1)","(2, 1)",25,Yes
Trial 7,"(8, 1)","(3, 5)",45,Yes
Trial 8,"(4, 5)","(3, 2)",20,No
Trial 9,"(4, 4)","(1, 6)",25,Yes
Trial 10,"(1, 4)","(5, 4)",20,Yes
Trial 11,"(7, 6)","(7, 1)",25,Yes
Trial 12,"(3, 4)","(6, 3)",20,No
Trial 13,"(8, 6)","(7, 3)",20,Yes
Trial 14,"(3, 4)","(6, 2)",25,No
Trial 15,"(5, 5)","(2, 2)",30,No
Trial 16,"(3, 2)","(5, 4)",20,No
Trial 17,"(4, 6)","(8, 2)",40,Yes
Trial 18,"(5, 6)","(3, 3)",25,No
Trial 19,"(3, 2)","(6, 3)",20,No
Trial 20,"(1, 4)","(5, 1)",35,Yes
Trial 21,"(5, 2)","(3, 6)",30,Yes
Trial 22,"(3, 5)","(8, 2)",40,No
Trial 23,"(4, 4)","(8, 5)",25,No
Trial 24,"(5, 2)","(8, 6)",35,No
Trial 25,"(5, 3)","(3, 6)",25,Yes
Trial 26,"(7, 6)","(3, 1)",45,No
Trial 27,"(1, 6)","(6, 2)",45,Yes
Trial 28,"(4, 1)","(3, 4)",20,No
Trial 29,"(7, 5)","(4, 2)",30,No
Trial 30,"(5, 1)","(7, 4)",25,Yes
Trial 31,"(8, 5)","(5, 1)",35,No
Trial 32,"(6, 1)","(5, 4)",20,No
Trial 33,"(6, 2)","(6, 6)",20,Yes
Trial 34,"(5, 5)","(4, 2)",20,No
Trial 35,"(7, 2)","(1, 5)",45,Yes
Trial 36,"(8, 6)","(3, 2)",45,Yes
Trial 37,"(1, 1)","(8, 4)",50,No
Trial 38,"(7, 3)","(4, 5)",25,No
Trial 39,"(8, 5)","(5, 3)",25,No
Trial 40,"(1, 6)","(8, 1)",60,No
Trial 41,"(6, 4)","(2, 6)",30,No
Trial 42,"(3, 3)","(2, 6)",20,Yes
Trial 43,"(3, 6)","(1, 4)",20,No
Trial 44,"(7, 5)","(1, 6)",35,No
Trial 45,"(7, 5)","(5, 3)",20,No
Trial 46,"(5, 6)","(2, 4)",25,No
Trial 47,"(5, 6)","(1, 6)",20,Yes
Trial 48,"(1, 3)","(8, 6)",50,No
Trial 49,"(1, 1)","(3, 5)",30,No
Trial 50,"(7, 5)","(2, 6)",30,No
Trial 51,"(6, 5)","(8, 1)",30,No
Trial 52,"(2, 3)","(5, 6)",30,No
Trial 53,"(1, 4)","(4, 5)",20,No
Trial 54,"(7, 6)","(4, 2)",35,No
Trial 55,"(1, 3)","(7, 3)",30,No
Trial 56,"(8, 2)","(7, 5)",20,No
Trial 57,"(2, 4)","(7, 4)",25,No
Trial 58,"(8, 4)","(5, 5)",20,No
Trial 59,"(3, 1)","(5, 6)",35,No
Trial 60,"(6, 5)","(4, 1)",30,No
Trial 61,"(4, 6)","(8, 5)",25,No
Trial 62,"(7, 1)","(7, 5)",20,No
Trial 63,"(7, 5)","(1, 1)",50,No
Trial 64,"(2, 1)","(2, 5)",20,Yes
Trial 65,"(6, 1)","(8, 4)",25,No
Trial 66,"(6, 1)","(4, 3)",20,No
Trial 67,"(4, 1)","(3, 5)",25,Yes
Trial 68,"(7, 1)","(4, 3)",25,Yes
Trial 69,"(1, 6)","(2, 2)",25,Yes
Trial 70,"(6, 4)","(1, 4)",25,Yes
Trial 71,"(6, 3)","(7, 6)",20,No
Trial 72,"(8, 6)","(8, 2)",20,Yes
Trial 73,"(7, 4)","(5, 1)",25,No
Trial 74,"(2, 4)","(7, 6)",35,No
Trial 75,"(2, 1)","(7, 5)",45,No
Trial 76,"(5, 4)","(3, 1)",25,Yes
Trial 77,"(3, 6)","(6, 1)",40,Yes
Trial 78,"(3, 5)","(6, 2)",30,Yes
Trial 79,"(8, 4)","(1, 4)",35,Yes
Trial 80,"(4, 1)","(2, 3)",20,Yes
Trial 81,"(2, 4)","(3, 1)",20,Yes
Trial 82,"(1, 5)","(7, 3)",40,Yes
Trial 83,"(8, 2)","(1, 6)",55,Yes
Trial 84,"(5, 1)","(3, 4)",25,No
Trial 85,"(7, 4)","(1, 5)",35,No
Trial 86,"(1, 4)","(4, 2)",25,Yes
Trial 87,"(8, 4)","(1, 4)",35,Yes
Trial 88,"(1, 2)","(3, 4)",20,No
Trial 89,"(2, 4)","(7, 6)",35,No
Trial 90,"(2, 5)","(8, 4)",35,Yes
Trial 91,"(1, 4)","(4, 1)",30,No
Trial 92,"(3, 2)","(6, 5)",30,No
Trial 93,"(8, 1)","(4, 6)",45,Yes
Trial 94,"(7, 6)","(2, 1)",50,No
Trial 95,"(4, 5)","(1, 4)",20,No
Trial 96,"(1, 6)","(8, 3)",50,No
Trial 97,"(1, 6)","(5, 5)",25,No
Trial 98,"(1, 6)","(3, 3)",25,Yes
Trial 99,"(3, 1)","(7, 3)",30,No
