Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(1, 5)","(8, 1)",55,No
Trial 1,"(8, 2)","(1, 2)",35,No
Trial 2,"(2, 1)","(3, 5)",25,No
Trial 3,"(6, 3)","(3, 4)",20,No
Trial 4,"(2, 1)","(6, 1)",20,Yes
Trial 5,"(8, 2)","(1, 4)",45,Yes
Trial 6,"(8, 2)","(3, 4)",35,No
Trial 7,"(2, 4)","(5, 1)",30,No
Trial 8,"(2, 6)","(7, 1)",50,No
Trial 9,"(7, 6)","(3, 3)",35,No
Trial 10,"(7, 1)","(1, 1)",30,Yes
Trial 11,"(5, 4)","(2, 3)",20,No
Trial 12,"(6, 4)","(1, 1)",40,No
Trial 13,"(2, 6)","(5, 1)",40,No
Trial 14,"(2, 1)","(6, 3)",30,Yes
Trial 15,"(4, 4)","(8, 2)",30,No
Trial 16,"(5, 6)","(4, 2)",25,No
Trial 17,"(3, 1)","(5, 5)",30,No
Trial 18,"(1, 2)","(8, 3)",40,No
Trial 19,"(2, 3)","(4, 5)",20,No
Trial 20,"(7, 3)","(2, 4)",30,No
Trial 21,"(7, 3)","(4, 2)",20,No
Trial 22,"(4, 4)","(2, 1)",25,No
Trial 23,"(3, 5)","(8, 6)",30,No
Trial 24,"(5, 5)","(1, 3)",30,No
Trial 25,"(7, 3)","(3, 5)",30,No
Trial 26,"(8, 1)","(8, 5)",20,No
Trial 27,"(8, 5)","(7, 2)",20,No
Trial 28,"(1, 6)","(2, 1)",30,No
Trial 29,"(6, 6)","(1, 6)",25,No
Trial 30,"(7, 6)","(5, 3)",25,No
Trial 31,"(8, 4)","(1, 3)",40,No
Trial 32,"(4, 1)","(8, 5)",40,No
Trial 33,"(5, 4)","(2, 3)",20,No
Trial 34,"(4, 2)","(2, 6)",30,No
Trial 35,"(3, 1)","(6, 6)",40,No
Trial 36,"(5, 6)","(7, 4)",20,No
Trial 37,"(8, 4)","(3, 4)",25,No
Trial 38,"(2, 4)","(6, 6)",30,No
Trial 39,"(5, 2)","(1, 4)",30,No
Trial 40,"(1, 6)","(4, 5)",20,No
Trial 41,"(5, 4)","(3, 2)",20,No
Trial 42,"(8, 6)","(2, 4)",40,No
Trial 43,"(1, 5)","(8, 3)",45,No
Trial 44,"(5, 2)","(8, 3)",20,No
Trial 45,"(1, 1)","(8, 4)",50,No
Trial 46,"(7, 5)","(3, 1)",40,No
Trial 47,"(6, 1)","(7, 6)",30,No
Trial 48,"(2, 1)","(4, 3)",20,Yes
Trial 49,"(3, 4)","(4, 1)",20,No
Trial 50,"(7, 1)","(2, 1)",25,No
Trial 51,"(4, 4)","(6, 1)",25,No
Trial 52,"(6, 1)","(7, 4)",20,No
Trial 53,"(7, 1)","(1, 3)",40,No
Trial 54,"(4, 6)","(1, 2)",35,Yes
Trial 55,"(1, 5)","(3, 3)",20,No
Trial 56,"(6, 6)","(5, 2)",25,No
Trial 57,"(1, 1)","(6, 1)",25,Yes
Trial 58,"(5, 1)","(2, 5)",35,No
Trial 59,"(2, 2)","(6, 4)",30,No
Trial 60,"(6, 2)","(4, 4)",20,No
Trial 61,"(2, 6)","(5, 5)",20,No
Trial 62,"(4, 6)","(7, 4)",25,No
Trial 63,"(7, 3)","(5, 6)",25,No
Trial 64,"(1, 4)","(4, 3)",20,No
Trial 65,"(6, 6)","(1, 3)",40,No
Trial 66,"(2, 5)","(5, 6)",20,No
Trial 67,"(3, 4)","(8, 4)",25,No
Trial 68,"(7, 4)","(6, 1)",20,No
Trial 69,"(6, 2)","(1, 6)",45,No
Trial 70,"(4, 5)","(8, 3)",30,No
Trial 71,"(8, 3)","(4, 2)",25,No
Trial 72,"(7, 2)","(6, 5)",20,No
Trial 73,"(8, 1)","(2, 1)",30,No
Trial 74,"(1, 2)","(7, 1)",35,No
Trial 75,"(4, 6)","(5, 1)",30,No
Trial 76,"(3, 5)","(6, 4)",20,No
Trial 77,"(6, 2)","(7, 5)",20,No
Trial 78,"(4, 6)","(7, 5)",20,No
Trial 79,"(8, 4)","(2, 4)",30,No
Trial 80,"(3, 4)","(7, 1)",35,No
Trial 81,"(8, 6)","(7, 2)",25,No
Trial 82,"(3, 2)","(8, 5)",40,No
Trial 83,"(5, 2)","(1, 1)",25,No
Trial 84,"(7, 1)","(3, 2)",25,No
Trial 85,"(4, 3)","(6, 5)",20,No
Trial 86,"(5, 6)","(8, 1)",40,No
Trial 87,"(1, 1)","(2, 5)",25,No
Trial 88,"(3, 3)","(7, 1)",30,No
Trial 89,"(2, 2)","(5, 1)",20,No
Trial 90,"(6, 5)","(3, 4)",20,No
Trial 91,"(8, 5)","(2, 1)",50,No
Trial 92,"(8, 5)","(7, 2)",20,No
Trial 93,"(7, 2)","(1, 2)",30,No
Trial 94,"(2, 6)","(3, 3)",20,No
Trial 95,"(3, 6)","(1, 2)",30,No
Trial 96,"(4, 6)","(7, 4)",25,No
Trial 97,"(4, 6)","(2, 1)",35,No
Trial 98,"(4, 6)","(7, 4)",25,No
Trial 99,"(4, 2)","(5, 5)",20,No
