Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(5, 4)","(4, 1)",20,No
Trial 1,"(3, 1)","(7, 5)",40,Yes
Trial 2,"(1, 1)","(4, 6)",40,Yes
Trial 3,"(5, 6)","(3, 3)",25,Yes
Trial 4,"(5, 3)","(2, 6)",30,No
Trial 5,"(3, 2)","(1, 4)",20,No
Trial 6,"(7, 6)","(6, 3)",20,No
Trial 7,"(8, 2)","(6, 4)",20,No
Trial 8,"(6, 2)","(7, 6)",25,No
Trial 9,"(7, 6)","(2, 6)",25,Yes
Trial 10,"(8, 6)","(6, 4)",20,No
Trial 11,"(6, 2)","(2, 2)",20,Yes
Trial 12,"(1, 5)","(5, 4)",25,Yes
Trial 13,"(6, 1)","(4, 4)",25,Yes
Trial 14,"(1, 5)","(4, 3)",25,Yes
Trial 15,"(6, 6)","(8, 3)",25,Yes
Trial 16,"(7, 1)","(3, 4)",35,Yes
Trial 17,"(8, 6)","(8, 2)",20,Yes
Trial 18,"(8, 1)","(2, 2)",35,Yes
Trial 19,"(1, 6)","(3, 1)",35,Yes
Trial 20,"(3, 5)","(8, 3)",35,Yes
Trial 21,"(5, 3)","(7, 1)",20,Yes
Trial 22,"(4, 3)","(8, 1)",30,Yes
Trial 23,"(3, 5)","(7, 6)",25,Yes
Trial 24,"(7, 6)","(3, 2)",40,Yes
Trial 25,"(7, 1)","(3, 5)",40,Yes
Trial 26,"(6, 2)","(5, 6)",25,Yes
Trial 27,"(3, 1)","(1, 4)",25,Yes
Trial 28,"(8, 6)","(6, 1)",35,Yes
Trial 29,"(2, 1)","(4, 3)",20,Yes
Trial 30,"(1, 2)","(8, 3)",40,Yes
Trial 31,"(7, 5)","(6, 2)",20,Yes
Trial 32,"(6, 2)","(2, 6)",40,No
Trial 33,"(7, 1)","(1, 4)",45,Yes
Trial 34,"(1, 6)","(8, 5)",40,Yes
Trial 35,"(2, 2)","(7, 6)",45,Yes
Trial 36,"(2, 2)","(6, 3)",25,Yes
Trial 37,"(3, 5)","(8, 1)",45,Yes
Trial 38,"(8, 6)","(2, 2)",50,Yes
Trial 39,"(2, 2)","(4, 4)",20,Yes
Trial 40,"(5, 1)","(7, 4)",25,Yes
Trial 41,"(8, 5)","(4, 5)",20,Yes
Trial 42,"(1, 2)","(5, 6)",40,Yes
Trial 43,"(2, 6)","(7, 6)",25,Yes
Trial 44,"(1, 3)","(7, 1)",40,Yes
Trial 45,"(4, 4)","(7, 5)",20,Yes
Trial 46,"(5, 4)","(2, 6)",25,No
Trial 47,"(3, 3)","(6, 5)",25,Yes
Trial 48,"(8, 1)","(5, 5)",35,Yes
Trial 49,"(8, 3)","(4, 4)",25,No
Trial 50,"(2, 6)","(1, 3)",20,No
Trial 51,"(7, 3)","(6, 6)",20,No
Trial 52,"(8, 4)","(2, 5)",35,Yes
Trial 53,"(6, 2)","(7, 5)",20,No
Trial 54,"(6, 1)","(3, 6)",40,Yes
Trial 55,"(6, 6)","(4, 4)",20,Yes
Trial 56,"(7, 1)","(1, 1)",30,Yes
Trial 57,"(8, 2)","(3, 5)",40,Yes
Trial 58,"(7, 2)","(5, 6)",30,No
Trial 59,"(1, 4)","(6, 6)",35,Yes
Trial 60,"(8, 6)","(2, 1)",55,Yes
Trial 61,"(2, 1)","(7, 4)",40,Yes
Trial 62,"(7, 3)","(2, 1)",35,Yes
Trial 63,"(4, 2)","(6, 6)",30,Yes
Trial 64,"(6, 2)","(3, 4)",25,No
Trial 65,"(8, 4)","(1, 4)",35,Yes
Trial 66,"(3, 5)","(4, 2)",20,No
Trial 67,"(3, 2)","(7, 6)",40,Yes
Trial 68,"(1, 4)","(2, 1)",20,Yes
Trial 69,"(3, 5)","(1, 1)",30,Yes
Trial 70,"(8, 6)","(3, 4)",35,Yes
Trial 71,"(2, 2)","(8, 1)",35,Yes
Trial 72,"(7, 1)","(7, 5)",20,Yes
Trial 73,"(5, 1)","(1, 5)",40,Yes
Trial 74,"(3, 4)","(7, 1)",35,Yes
Trial 75,"(4, 2)","(1, 4)",25,No
Trial 76,"(3, 6)","(7, 3)",35,No
Trial 77,"(3, 5)","(2, 1)",25,Yes
Trial 78,"(2, 2)","(5, 3)",20,Yes
Trial 79,"(1, 6)","(7, 4)",40,Yes
Trial 80,"(5, 3)","(7, 1)",20,Yes
Trial 81,"(1, 3)","(6, 5)",35,Yes
Trial 82,"(1, 6)","(3, 4)",20,No
Trial 83,"(5, 5)","(8, 3)",25,Yes
Trial 84,"(5, 4)","(1, 2)",30,Yes
Trial 85,"(6, 5)","(7, 2)",20,No
Trial 86,"(6, 2)","(6, 6)",20,Yes
Trial 87,"(7, 2)","(5, 5)",25,No
Trial 88,"(4, 3)","(1, 6)",30,Yes
Trial 89,"(5, 4)","(8, 3)",20,Yes
Trial 90,"(5, 2)","(1, 1)",25,Yes
Trial 91,"(2, 1)","(4, 3)",20,Yes
Trial 92,"(5, 2)","(3, 6)",30,No
Trial 93,"(8, 5)","(3, 3)",35,Yes
Trial 94,"(8, 2)","(6, 5)",25,Yes
Trial 95,"(2, 4)","(8, 4)",30,Yes
Trial 96,"(5, 4)","(3, 1)",25,Yes
Trial 97,"(4, 6)","(2, 4)",20,Yes
Trial 98,"(1, 3)","(5, 2)",25,Yes
Trial 99,"(6, 1)","(2, 1)",20,Yes
