Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(3, 4)","(5, 6)",20,Yes
Trial 1,"(6, 6)","(5, 1)",30,Yes
Trial 2,"(5, 1)","(7, 5)",30,No
Trial 3,"(7, 5)","(8, 2)",20,No
Trial 4,"(1, 3)","(6, 1)",35,Yes
Trial 5,"(3, 3)","(8, 4)",30,Yes
Trial 6,"(1, 5)","(3, 2)",25,No
Trial 7,"(5, 6)","(8, 4)",25,No
Trial 8,"(7, 1)","(1, 1)",30,No
Trial 9,"(1, 4)","(2, 1)",20,No
Trial 10,"(6, 1)","(3, 5)",35,No
Trial 11,"(3, 1)","(8, 4)",40,Yes
Trial 12,"(6, 2)","(6, 6)",20,Yes
Trial 13,"(3, 3)","(1, 6)",25,No
Trial 14,"(6, 6)","(2, 1)",45,Yes
Trial 15,"(1, 4)","(6, 1)",40,Yes
Trial 16,"(2, 1)","(6, 4)",35,No
Trial 17,"(4, 1)","(1, 4)",30,No
Trial 18,"(3, 6)","(7, 5)",25,No
Trial 19,"(6, 5)","(2, 5)",20,No
Trial 20,"(4, 1)","(3, 6)",30,Yes
Trial 21,"(4, 4)","(7, 2)",25,No
Trial 22,"(6, 4)","(3, 6)",25,Yes
Trial 23,"(2, 5)","(7, 6)",30,Yes
Trial 24,"(2, 4)","(1, 1)",20,Yes
Trial 25,"(1, 3)","(6, 5)",35,No
Trial 26,"(8, 3)","(2, 4)",35,Yes
Trial 27,"(8, 3)","(2, 2)",35,Yes
Trial 28,"(2, 3)","(7, 5)",35,Yes
Trial 29,"(2, 4)","(6, 6)",30,No
Trial 30,"(4, 6)","(7, 1)",40,Yes
Trial 31,"(8, 2)","(1, 5)",50,No
Trial 32,"(1, 4)","(2, 1)",20,Yes
Trial 33,"(3, 6)","(6, 3)",30,Yes
Trial 34,"(7, 1)","(3, 4)",35,No
Trial 35,"(8, 1)","(2, 6)",55,Yes
Trial 36,"(7, 2)","(2, 2)",25,No
Trial 37,"(2, 2)","(8, 4)",40,Yes
Trial 38,"(5, 3)","(4, 6)",20,Yes
Trial 39,"(1, 4)","(7, 5)",35,Yes
Trial 40,"(7, 5)","(3, 5)",20,Yes
Trial 41,"(6, 6)","(2, 4)",30,Yes
Trial 42,"(5, 2)","(4, 6)",25,Yes
Trial 43,"(6, 4)","(1, 4)",25,No
Trial 44,"(3, 4)","(6, 1)",30,Yes
Trial 45,"(6, 2)","(2, 6)",40,Yes
Trial 46,"(1, 3)","(4, 1)",25,Yes
Trial 47,"(6, 6)","(2, 2)",40,Yes
Trial 48,"(6, 6)","(3, 5)",20,Yes
Trial 49,"(8, 2)","(1, 6)",55,No
Trial 50,"(8, 3)","(2, 3)",30,Yes
Trial 51,"(7, 6)","(7, 2)",20,Yes
Trial 52,"(2, 1)","(8, 6)",55,No
Trial 53,"(8, 3)","(4, 3)",20,Yes
Trial 54,"(5, 1)","(8, 2)",20,No
Trial 55,"(5, 1)","(1, 3)",30,No
Trial 56,"(6, 4)","(7, 1)",20,Yes
Trial 57,"(7, 4)","(3, 5)",25,Yes
Trial 58,"(8, 1)","(3, 3)",35,No
Trial 59,"(2, 2)","(6, 3)",25,Yes
Trial 60,"(4, 5)","(7, 2)",30,Yes
Trial 61,"(2, 2)","(8, 4)",40,Yes
Trial 62,"(5, 2)","(7, 6)",30,No
Trial 63,"(6, 6)","(1, 1)",50,Yes
Trial 64,"(1, 5)","(5, 5)",20,No
Trial 65,"(3, 1)","(5, 4)",25,No
Trial 66,"(2, 1)","(7, 1)",25,Yes
Trial 67,"(4, 4)","(6, 2)",20,No
Trial 68,"(1, 3)","(8, 3)",35,Yes
Trial 69,"(3, 2)","(1, 5)",25,No
Trial 70,"(2, 6)","(1, 1)",30,No
Trial 71,"(5, 5)","(5, 1)",20,Yes
Trial 72,"(3, 6)","(6, 1)",40,Yes
Trial 73,"(8, 2)","(6, 4)",20,Yes
Trial 74,"(6, 5)","(2, 3)",30,Yes
Trial 75,"(6, 3)","(2, 3)",20,Yes
Trial 76,"(6, 6)","(1, 6)",25,Yes
Trial 77,"(4, 2)","(6, 5)",25,Yes
Trial 78,"(5, 6)","(1, 5)",25,Yes
Trial 79,"(4, 4)","(2, 2)",20,Yes
Trial 80,"(8, 6)","(3, 2)",45,No
Trial 81,"(5, 6)","(8, 3)",30,No
Trial 82,"(3, 1)","(5, 3)",20,No
Trial 83,"(4, 2)","(8, 6)",40,Yes
Trial 84,"(5, 6)","(8, 3)",30,No
Trial 85,"(1, 1)","(4, 6)",40,Yes
Trial 86,"(7, 4)","(2, 1)",40,Yes
Trial 87,"(7, 1)","(4, 4)",30,Yes
Trial 88,"(8, 3)","(6, 5)",20,No
Trial 89,"(6, 3)","(4, 5)",20,Yes
Trial 90,"(7, 3)","(1, 3)",30,Yes
Trial 91,"(4, 5)","(8, 5)",20,Yes
Trial 92,"(3, 1)","(4, 5)",25,No
Trial 93,"(3, 3)","(8, 1)",35,No
Trial 94,"(7, 5)","(3, 1)",40,Yes
Trial 95,"(1, 5)","(7, 3)",40,Yes
Trial 96,"(8, 6)","(5, 2)",35,Yes
Trial 97,"(5, 6)","(1, 3)",35,Yes
Trial 98,"(1, 5)","(6, 5)",25,No
Trial 99,"(2, 5)","(1, 1)",25,Yes
