Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(3, 4)","(5, 6)",20,No
Trial 1,"(6, 1)","(6, 6)",25,Yes
Trial 2,"(2, 4)","(5, 1)",30,No
Trial 3,"(7, 5)","(2, 4)",30,No
Trial 4,"(3, 5)","(7, 3)",30,No
Trial 5,"(7, 5)","(2, 2)",40,No
Trial 6,"(1, 1)","(5, 1)",20,No
Trial 7,"(3, 1)","(4, 5)",25,No
Trial 8,"(1, 6)","(4, 4)",25,No
Trial 9,"(3, 5)","(4, 1)",25,No
Trial 10,"(1, 3)","(3, 5)",20,No
Trial 11,"(2, 4)","(6, 6)",30,No
Trial 12,"(2, 4)","(8, 4)",30,Yes
Trial 13,"(8, 1)","(6, 6)",35,No
Trial 14,"(8, 5)","(7, 2)",20,No
Trial 15,"(3, 6)","(7, 2)",40,No
Trial 16,"(6, 5)","(1, 3)",35,No
Trial 17,"(4, 3)","(8, 5)",30,No
Trial 18,"(5, 3)","(3, 5)",20,No
Trial 19,"(3, 5)","(1, 3)",20,No
Trial 20,"(6, 6)","(8, 1)",35,No
Trial 21,"(6, 5)","(2, 5)",20,No
Trial 22,"(2, 5)","(5, 3)",25,No
Trial 23,"(5, 1)","(2, 2)",20,No
Trial 24,"(5, 4)","(8, 6)",25,No
Trial 25,"(8, 1)","(7, 6)",30,No
Trial 26,"(8, 6)","(2, 1)",55,No
Trial 27,"(5, 4)","(8, 2)",25,No
Trial 28,"(8, 3)","(5, 5)",25,No
Trial 29,"(6, 4)","(1, 2)",35,No
Trial 30,"(3, 5)","(7, 1)",40,No
Trial 31,"(4, 5)","(1, 2)",30,No
Trial 32,"(4, 1)","(3, 4)",20,No
Trial 33,"(1, 3)","(6, 6)",40,No
Trial 34,"(2, 5)","(4, 2)",25,No
Trial 35,"(3, 6)","(2, 3)",20,No
Trial 36,"(5, 1)","(8, 3)",25,No
Trial 37,"(1, 2)","(5, 1)",25,No
Trial 38,"(4, 1)","(8, 2)",25,No
Trial 39,"(5, 2)","(2, 4)",25,No
Trial 40,"(1, 6)","(3, 4)",20,No
Trial 41,"(3, 4)","(2, 1)",20,No
Trial 42,"(5, 5)","(2, 6)",20,No
Trial 43,"(5, 6)","(1, 1)",45,No
Trial 44,"(6, 6)","(2, 5)",25,No
Trial 45,"(2, 1)","(6, 4)",35,No
Trial 46,"(8, 6)","(4, 3)",35,No
Trial 47,"(2, 3)","(5, 6)",30,No
Trial 48,"(4, 6)","(6, 1)",35,No
Trial 49,"(6, 3)","(2, 5)",30,No
Trial 50,"(7, 2)","(6, 6)",25,No
Trial 51,"(8, 2)","(3, 1)",30,No
Trial 52,"(2, 5)","(6, 1)",40,No
Trial 53,"(6, 6)","(8, 1)",35,No
Trial 54,"(8, 6)","(5, 1)",40,No
Trial 55,"(1, 6)","(6, 6)",25,No
Trial 56,"(2, 1)","(4, 4)",25,No
Trial 57,"(6, 2)","(5, 6)",25,No
Trial 58,"(7, 4)","(4, 3)",20,No
Trial 59,"(7, 4)","(1, 6)",40,No
Trial 60,"(3, 4)","(8, 3)",30,No
Trial 61,"(4, 2)","(5, 5)",20,No
Trial 62,"(3, 6)","(7, 4)",30,No
Trial 63,"(6, 3)","(3, 6)",30,No
Trial 64,"(5, 2)","(8, 5)",30,No
Trial 65,"(7, 2)","(7, 6)",20,No
Trial 66,"(4, 6)","(6, 3)",25,No
Trial 67,"(2, 2)","(6, 6)",40,No
Trial 68,"(5, 2)","(2, 3)",20,No
Trial 69,"(8, 2)","(3, 3)",30,No
Trial 70,"(3, 6)","(4, 3)",20,No
Trial 71,"(4, 1)","(6, 3)",20,No
Trial 72,"(7, 4)","(3, 3)",25,No
Trial 73,"(6, 5)","(3, 6)",20,No
Trial 74,"(3, 6)","(6, 4)",25,No
Trial 75,"(1, 1)","(4, 3)",25,No
Trial 76,"(1, 1)","(3, 6)",35,No
Trial 77,"(7, 4)","(3, 5)",25,No
Trial 78,"(3, 3)","(7, 1)",30,No
Trial 79,"(3, 3)","(8, 6)",40,No
Trial 80,"(5, 6)","(8, 2)",35,No
Trial 81,"(8, 6)","(4, 2)",40,No
Trial 82,"(7, 5)","(1, 2)",45,No
Trial 83,"(3, 1)","(6, 6)",40,No
Trial 84,"(8, 4)","(4, 4)",20,Yes
Trial 85,"(6, 3)","(3, 5)",25,No
Trial 86,"(5, 5)","(7, 3)",20,No
Trial 87,"(8, 6)","(6, 4)",20,No
Trial 88,"(6, 6)","(4, 1)",35,No
Trial 89,"(5, 4)","(6, 1)",20,No
Trial 90,"(8, 3)","(2, 3)",30,Yes
Trial 91,"(2, 4)","(4, 6)",20,No
Trial 92,"(2, 5)","(3, 1)",25,No
Trial 93,"(2, 2)","(3, 5)",20,No
Trial 94,"(1, 2)","(6, 4)",35,No
Trial 95,"(5, 1)","(8, 6)",40,No
Trial 96,"(6, 6)","(4, 2)",30,No
Trial 97,"(6, 4)","(2, 6)",30,No
Trial 98,"(2, 3)","(8, 3)",30,No
Trial 99,"(4, 4)","(8, 2)",30,No
