Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(7, 5)","(4, 1)",35,No
Trial 1,"(1, 1)","(3, 3)",20,No
Trial 2,"(8, 2)","(3, 2)",25,Yes
Trial 3,"(5, 5)","(3, 1)",30,No
Trial 4,"(2, 3)","(3, 6)",20,No
Trial 5,"(6, 3)","(3, 5)",25,Yes
Trial 6,"(7, 4)","(5, 6)",20,No
Trial 7,"(2, 1)","(8, 4)",45,Yes
Trial 8,"(6, 3)","(4, 1)",20,No
Trial 9,"(4, 6)","(8, 3)",35,Yes
Trial 10,"(6, 6)","(5, 2)",25,Yes
Trial 11,"(2, 1)","(4, 5)",30,Yes
Trial 12,"(2, 1)","(4, 3)",20,Yes
Trial 13,"(2, 2)","(7, 5)",40,No
Trial 14,"(3, 3)","(6, 5)",25,No
Trial 15,"(6, 3)","(8, 1)",20,Yes
Trial 16,"(2, 4)","(3, 1)",20,Yes
Trial 17,"(1, 6)","(5, 1)",45,Yes
Trial 18,"(6, 2)","(1, 6)",45,Yes
Trial 19,"(4, 5)","(5, 2)",20,Yes
Trial 20,"(6, 5)","(1, 4)",30,No
Trial 21,"(1, 3)","(5, 2)",25,Yes
Trial 22,"(4, 1)","(5, 5)",25,Yes
Trial 23,"(4, 3)","(7, 5)",25,No
Trial 24,"(7, 2)","(2, 2)",25,No
Trial 25,"(7, 3)","(2, 6)",40,Yes
Trial 26,"(6, 1)","(5, 5)",25,Yes
Trial 27,"(7, 1)","(2, 3)",35,No
Trial 28,"(8, 6)","(8, 2)",20,Yes
Trial 29,"(3, 2)","(6, 6)",35,No
Trial 30,"(2, 6)","(7, 6)",25,No
Trial 31,"(4, 4)","(6, 1)",25,Yes
Trial 32,"(2, 2)","(6, 6)",40,Yes
Trial 33,"(2, 2)","(4, 4)",20,No
Trial 34,"(3, 2)","(7, 3)",25,No
Trial 35,"(7, 4)","(5, 6)",20,No
Trial 36,"(1, 2)","(8, 6)",55,No
Trial 37,"(5, 3)","(7, 1)",20,Yes
Trial 38,"(6, 6)","(8, 2)",30,Yes
Trial 39,"(7, 1)","(1, 5)",50,Yes
Trial 40,"(7, 2)","(4, 4)",25,Yes
Trial 41,"(7, 4)","(1, 5)",35,Yes
Trial 42,"(8, 5)","(2, 4)",35,Yes
Trial 43,"(7, 6)","(4, 5)",20,Yes
Trial 44,"(7, 5)","(1, 3)",40,No
Trial 45,"(4, 6)","(2, 3)",25,No
Trial 46,"(1, 6)","(4, 5)",20,Yes
Trial 47,"(4, 5)","(1, 3)",25,No
Trial 48,"(1, 5)","(8, 4)",40,Yes
Trial 49,"(4, 6)","(7, 5)",20,Yes
Trial 50,"(7, 1)","(4, 3)",25,Yes
Trial 51,"(2, 4)","(7, 3)",30,Yes
Trial 52,"(8, 4)","(2, 2)",40,No
Trial 53,"(8, 4)","(2, 3)",35,Yes
Trial 54,"(8, 5)","(7, 1)",25,Yes
Trial 55,"(6, 6)","(7, 1)",30,Yes
Trial 56,"(4, 2)","(8, 1)",25,Yes
Trial 57,"(4, 1)","(7, 5)",35,No
Trial 58,"(2, 6)","(3, 3)",20,Yes
Trial 59,"(4, 2)","(7, 6)",35,No
Trial 60,"(4, 5)","(1, 2)",30,No
Trial 61,"(2, 4)","(7, 4)",25,Yes
Trial 62,"(3, 6)","(6, 4)",25,Yes
Trial 63,"(3, 6)","(5, 4)",20,No
Trial 64,"(7, 2)","(2, 4)",35,Yes
Trial 65,"(8, 2)","(3, 6)",45,No
Trial 66,"(8, 6)","(3, 2)",45,No
Trial 67,"(1, 6)","(1, 2)",20,Yes
Trial 68,"(6, 4)","(8, 2)",20,Yes
Trial 69,"(3, 6)","(6, 5)",20,No
Trial 70,"(2, 2)","(8, 5)",45,No
Trial 71,"(7, 1)","(7, 5)",20,Yes
Trial 72,"(7, 5)","(6, 2)",20,No
Trial 73,"(3, 4)","(7, 6)",30,No
Trial 74,"(3, 4)","(6, 5)",20,Yes
Trial 75,"(3, 1)","(7, 3)",30,Yes
Trial 76,"(4, 5)","(5, 2)",20,Yes
Trial 77,"(7, 2)","(3, 4)",30,Yes
Trial 78,"(2, 6)","(8, 6)",30,Yes
Trial 79,"(2, 5)","(5, 2)",30,Yes
Trial 80,"(7, 4)","(2, 5)",30,Yes
Trial 81,"(3, 5)","(2, 2)",20,No
Trial 82,"(3, 1)","(5, 4)",25,No
Trial 83,"(8, 1)","(5, 2)",20,Yes
Trial 84,"(6, 2)","(2, 4)",30,Yes
Trial 85,"(6, 4)","(1, 5)",30,Yes
Trial 86,"(8, 3)","(2, 1)",40,No
Trial 87,"(1, 3)","(4, 6)",30,Yes
Trial 88,"(3, 6)","(4, 3)",20,Yes
Trial 89,"(3, 1)","(5, 6)",35,Yes
Trial 90,"(1, 6)","(2, 2)",25,Yes
Trial 91,"(2, 6)","(5, 5)",20,Yes
Trial 92,"(5, 6)","(7, 2)",30,Yes
Trial 93,"(7, 1)","(2, 2)",30,Yes
Trial 94,"(8, 6)","(4, 1)",45,No
Trial 95,"(3, 2)","(5, 5)",25,No
Trial 96,"(1, 2)","(3, 6)",30,No
Trial 97,"(1, 5)","(4, 2)",30,No
Trial 98,"(3, 3)","(8, 3)",25,Yes
Trial 99,"(6, 5)","(4, 2)",25,No
