Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(6, 1)","(1, 3)",35,No
Trial 1,"(8, 2)","(4, 5)",35,No
Trial 2,"(5, 2)","(8, 3)",20,No
Trial 3,"(6, 2)","(2, 3)",25,No
Trial 4,"(7, 2)","(3, 4)",30,No
Trial 5,"(3, 4)","(6, 3)",20,No
Trial 6,"(6, 6)","(3, 2)",35,No
Trial 7,"(2, 3)","(5, 1)",25,No
Trial 8,"(3, 5)","(5, 3)",20,No
Trial 9,"(3, 6)","(4, 2)",25,No
Trial 10,"(5, 6)","(8, 3)",30,No
Trial 11,"(1, 6)","(4, 5)",20,No
Trial 12,"(2, 3)","(7, 3)",25,Yes
Trial 13,"(2, 4)","(6, 5)",25,No
Trial 14,"(8, 1)","(5, 5)",35,No
Trial 15,"(6, 2)","(1, 5)",40,No
Trial 16,"(2, 4)","(4, 2)",20,No
Trial 17,"(7, 5)","(1, 6)",35,No
Trial 18,"(8, 6)","(2, 2)",50,No
Trial 19,"(8, 4)","(3, 3)",30,No
Trial 20,"(1, 2)","(3, 4)",20,No
Trial 21,"(8, 4)","(6, 2)",20,No
Trial 22,"(4, 3)","(7, 5)",25,No
Trial 23,"(6, 1)","(3, 3)",25,No
Trial 24,"(2, 6)","(4, 4)",20,No
Trial 25,"(3, 1)","(7, 3)",30,No
Trial 26,"(7, 6)","(1, 5)",35,No
Trial 27,"(8, 2)","(4, 6)",40,No
Trial 28,"(4, 1)","(8, 5)",40,No
Trial 29,"(2, 6)","(7, 2)",45,No
Trial 30,"(5, 1)","(1, 5)",40,No
Trial 31,"(8, 3)","(5, 1)",25,No
Trial 32,"(5, 1)","(5, 5)",20,No
Trial 33,"(2, 5)","(6, 6)",25,No
Trial 34,"(6, 1)","(1, 3)",35,No
Trial 35,"(2, 6)","(7, 1)",50,No
Trial 36,"(8, 3)","(2, 4)",35,No
Trial 37,"(1, 1)","(6, 3)",35,No
Trial 38,"(5, 4)","(1, 5)",25,No
Trial 39,"(1, 1)","(7, 4)",45,No
Trial 40,"(3, 5)","(6, 3)",25,No
Trial 41,"(7, 2)","(3, 1)",25,No
Trial 42,"(2, 4)","(8, 6)",40,No
Trial 43,"(2, 6)","(3, 3)",20,No
Trial 44,"(8, 1)","(5, 6)",40,No
Trial 45,"(5, 1)","(7, 4)",25,No
Trial 46,"(8, 2)","(1, 2)",35,Yes
Trial 47,"(7, 6)","(6, 1)",30,No
Trial 48,"(6, 6)","(4, 2)",30,No
Trial 49,"(8, 5)","(1, 3)",45,No
Trial 50,"(2, 1)","(6, 1)",20,No
Trial 51,"(1, 6)","(1, 2)",20,No
Trial 52,"(8, 5)","(2, 5)",30,No
Trial 53,"(2, 1)","(8, 4)",45,No
Trial 54,"(6, 3)","(4, 5)",20,No
Trial 55,"(6, 4)","(2, 6)",30,No
Trial 56,"(7, 1)","(1, 1)",30,No
Trial 57,"(8, 2)","(1, 6)",55,No
Trial 58,"(5, 4)","(2, 2)",25,No
Trial 59,"(8, 5)","(6, 2)",25,No
Trial 60,"(7, 3)","(1, 6)",45,No
Trial 61,"(3, 5)","(8, 6)",30,No
Trial 62,"(2, 3)","(8, 6)",45,No
Trial 63,"(8, 1)","(2, 3)",40,No
Trial 64,"(7, 6)","(5, 3)",25,No
Trial 65,"(7, 4)","(1, 5)",35,No
Trial 66,"(7, 2)","(3, 1)",25,No
Trial 67,"(3, 6)","(6, 1)",40,No
Trial 68,"(7, 1)","(4, 4)",30,No
Trial 69,"(3, 5)","(7, 4)",25,No
Trial 70,"(1, 1)","(8, 5)",55,No
Trial 71,"(6, 1)","(7, 5)",25,No
Trial 72,"(7, 1)","(8, 5)",25,No
Trial 73,"(1, 4)","(8, 2)",45,No
Trial 74,"(2, 1)","(5, 3)",25,No
Trial 75,"(6, 4)","(2, 1)",35,No
Trial 76,"(4, 2)","(2, 6)",30,No
Trial 77,"(5, 2)","(1, 1)",25,No
Trial 78,"(2, 2)","(1, 6)",25,No
Trial 79,"(8, 1)","(1, 5)",55,No
Trial 80,"(3, 6)","(8, 1)",50,No
Trial 81,"(4, 2)","(1, 5)",30,No
Trial 82,"(1, 3)","(4, 6)",30,No
Trial 83,"(8, 1)","(5, 2)",20,No
Trial 84,"(1, 4)","(8, 3)",40,No
Trial 85,"(3, 5)","(1, 1)",30,No
Trial 86,"(1, 1)","(3, 3)",20,No
Trial 87,"(5, 4)","(1, 4)",20,No
Trial 88,"(8, 2)","(3, 2)",25,No
Trial 89,"(1, 4)","(7, 3)",35,No
Trial 90,"(6, 2)","(2, 2)",20,No
Trial 91,"(7, 3)","(1, 6)",45,No
Trial 92,"(3, 3)","(2, 6)",20,No
Trial 93,"(5, 4)","(2, 6)",25,No
Trial 94,"(7, 2)","(4, 3)",20,No
Trial 95,"(3, 2)","(6, 5)",30,No
Trial 96,"(5, 2)","(6, 6)",25,No
Trial 97,"(6, 1)","(2, 5)",40,No
Trial 98,"(6, 1)","(3, 3)",25,No
Trial 99,"(8, 1)","(3, 4)",40,No
