Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(2, 6)","(4, 2)",30,Yes
Trial 1,"(6, 1)","(5, 4)",20,No
Trial 2,"(8, 6)","(6, 2)",30,No
Trial 3,"(4, 3)","(8, 5)",30,No
Trial 4,"(6, 6)","(2, 1)",45,No
Trial 5,"(4, 1)","(1, 6)",40,No
Trial 6,"(8, 1)","(1, 4)",50,No
Trial 7,"(5, 5)","(7, 1)",30,No
Trial 8,"(1, 2)","(5, 1)",25,No
Trial 9,"(7, 1)","(1, 2)",35,No
Trial 10,"(7, 1)","(1, 2)",35,No
Trial 11,"(7, 2)","(6, 5)",20,No
Trial 12,"(2, 1)","(8, 3)",40,No
Trial 13,"(1, 2)","(7, 6)",50,No
Trial 14,"(7, 1)","(5, 6)",35,No
Trial 15,"(7, 2)","(2, 5)",40,No
Trial 16,"(3, 1)","(8, 2)",30,No
Trial 17,"(3, 6)","(6, 3)",30,No
Trial 18,"(1, 4)","(8, 1)",50,No
Trial 19,"(4, 1)","(5, 5)",25,No
Trial 20,"(5, 6)","(3, 1)",35,No
Trial 21,"(7, 6)","(5, 3)",25,No
Trial 22,"(2, 6)","(6, 6)",20,Yes
Trial 23,"(7, 4)","(5, 2)",20,No
Trial 24,"(1, 1)","(3, 5)",30,No
Trial 25,"(2, 1)","(4, 3)",20,No
Trial 26,"(6, 5)","(2, 5)",20,No
Trial 27,"(5, 6)","(2, 3)",30,No
Trial 28,"(6, 1)","(6, 6)",25,No
Trial 29,"(8, 2)","(1, 6)",55,No
Trial 30,"(4, 4)","(2, 2)",20,No
Trial 31,"(4, 2)","(6, 6)",30,No
Trial 32,"(7, 6)","(4, 2)",35,No
Trial 33,"(3, 1)","(6, 2)",20,No
Trial 34,"(2, 6)","(8, 1)",55,No
Trial 35,"(7, 2)","(1, 5)",45,No
Trial 36,"(7, 1)","(3, 6)",45,No
Trial 37,"(3, 2)","(2, 6)",25,No
Trial 38,"(4, 5)","(8, 1)",40,No
Trial 39,"(8, 6)","(1, 1)",60,No
Trial 40,"(1, 6)","(1, 1)",25,No
Trial 41,"(8, 4)","(6, 6)",20,No
Trial 42,"(2, 6)","(6, 3)",35,No
Trial 43,"(8, 6)","(4, 3)",35,No
Trial 44,"(5, 1)","(3, 5)",30,No
Trial 45,"(6, 1)","(2, 5)",40,No
Trial 46,"(2, 2)","(7, 3)",30,No
Trial 47,"(1, 2)","(8, 6)",55,No
Trial 48,"(1, 3)","(3, 6)",25,No
Trial 49,"(8, 2)","(7, 6)",25,No
Trial 50,"(7, 5)","(3, 3)",30,No
Trial 51,"(8, 5)","(2, 6)",35,No
Trial 52,"(8, 6)","(7, 1)",30,No
Trial 53,"(7, 6)","(2, 5)",30,No
Trial 54,"(5, 2)","(1, 5)",35,No
Trial 55,"(4, 6)","(7, 4)",25,No
Trial 56,"(1, 2)","(8, 4)",45,No
Trial 57,"(8, 6)","(2, 1)",55,No
Trial 58,"(5, 2)","(2, 5)",30,No
Trial 59,"(4, 1)","(4, 6)",25,Yes
Trial 60,"(2, 1)","(3, 6)",30,No
Trial 61,"(3, 3)","(7, 2)",25,No
Trial 62,"(3, 1)","(8, 3)",35,No
Trial 63,"(7, 2)","(6, 5)",20,No
Trial 64,"(6, 4)","(1, 1)",40,No
Trial 65,"(3, 2)","(8, 1)",30,No
Trial 66,"(3, 1)","(2, 4)",20,No
Trial 67,"(8, 6)","(1, 4)",45,No
Trial 68,"(7, 2)","(2, 5)",40,No
Trial 69,"(1, 1)","(6, 2)",30,No
Trial 70,"(8, 5)","(6, 3)",20,No
Trial 71,"(4, 6)","(8, 2)",40,No
Trial 72,"(8, 1)","(1, 6)",60,No
Trial 73,"(5, 6)","(8, 3)",30,No
Trial 74,"(3, 6)","(7, 6)",20,No
Trial 75,"(5, 3)","(2, 6)",30,No
Trial 76,"(1, 5)","(7, 3)",40,No
Trial 77,"(8, 2)","(5, 6)",35,No
Trial 78,"(8, 3)","(4, 6)",35,No
Trial 79,"(8, 1)","(7, 5)",25,No
Trial 80,"(7, 2)","(5, 5)",25,No
Trial 81,"(7, 6)","(1, 3)",45,No
Trial 82,"(4, 6)","(8, 2)",40,No
Trial 83,"(8, 3)","(2, 4)",35,No
Trial 84,"(3, 4)","(7, 4)",20,Yes
Trial 85,"(2, 3)","(5, 6)",30,No
Trial 86,"(5, 4)","(3, 6)",20,No
Trial 87,"(1, 5)","(6, 4)",30,No
Trial 88,"(3, 5)","(8, 2)",40,No
Trial 89,"(2, 6)","(5, 5)",20,No
Trial 90,"(8, 1)","(5, 2)",20,No
Trial 91,"(8, 1)","(4, 4)",35,No
Trial 92,"(1, 6)","(3, 4)",20,No
Trial 93,"(6, 4)","(3, 6)",25,No
Trial 94,"(5, 4)","(2, 5)",20,No
Trial 95,"(6, 4)","(2, 5)",25,No
Trial 96,"(1, 1)","(8, 1)",35,No
Trial 97,"(8, 2)","(2, 1)",35,No
Trial 98,"(2, 4)","(4, 6)",20,No
Trial 99,"(7, 6)","(2, 5)",30,No
