Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(2, 2)","(7, 6)",45,No
Trial 1,"(1, 1)","(6, 5)",45,Yes
Trial 2,"(6, 1)","(2, 4)",35,Yes
Trial 3,"(4, 1)","(6, 3)",20,Yes
Trial 4,"(5, 4)","(2, 1)",30,Yes
Trial 5,"(6, 6)","(7, 1)",30,Yes
Trial 6,"(4, 2)","(8, 4)",30,No
Trial 7,"(7, 1)","(2, 1)",25,No
Trial 8,"(2, 1)","(5, 2)",20,Yes
Trial 9,"(5, 5)","(4, 1)",25,Yes
Trial 10,"(3, 2)","(7, 4)",30,Yes
Trial 11,"(2, 2)","(7, 6)",45,No
Trial 12,"(6, 6)","(1, 5)",30,Yes
Trial 13,"(8, 3)","(4, 3)",20,Yes
Trial 14,"(5, 1)","(1, 4)",35,No
Trial 15,"(8, 3)","(1, 6)",50,No
Trial 16,"(5, 6)","(8, 4)",25,No
Trial 17,"(2, 5)","(8, 5)",30,Yes
Trial 18,"(6, 6)","(2, 2)",40,No
Trial 19,"(3, 4)","(6, 3)",20,No
Trial 20,"(6, 6)","(3, 1)",40,Yes
Trial 21,"(2, 6)","(8, 5)",35,No
Trial 22,"(7, 6)","(7, 2)",20,Yes
Trial 23,"(6, 2)","(1, 3)",30,No
Trial 24,"(5, 4)","(1, 3)",25,Yes
Trial 25,"(1, 3)","(4, 4)",20,No
Trial 26,"(6, 1)","(1, 5)",45,No
Trial 27,"(2, 1)","(7, 4)",40,Yes
Trial 28,"(4, 6)","(8, 4)",30,No
Trial 29,"(5, 4)","(7, 1)",25,Yes
Trial 30,"(6, 5)","(7, 2)",20,Yes
Trial 31,"(8, 1)","(8, 5)",20,No
Trial 32,"(6, 3)","(4, 5)",20,No
Trial 33,"(2, 4)","(5, 6)",25,Yes
Trial 34,"(6, 2)","(3, 4)",25,No
Trial 35,"(6, 4)","(2, 3)",25,Yes
Trial 36,"(3, 5)","(6, 6)",20,Yes
Trial 37,"(8, 3)","(2, 3)",30,Yes
Trial 38,"(4, 3)","(8, 1)",30,No
Trial 39,"(8, 3)","(2, 2)",35,Yes
Trial 40,"(4, 5)","(8, 5)",20,Yes
Trial 41,"(1, 5)","(7, 5)",30,Yes
Trial 42,"(5, 5)","(4, 2)",20,Yes
Trial 43,"(2, 2)","(8, 3)",35,Yes
Trial 44,"(1, 1)","(6, 6)",50,Yes
Trial 45,"(7, 6)","(2, 6)",25,No
Trial 46,"(6, 1)","(7, 4)",20,Yes
Trial 47,"(8, 4)","(2, 5)",35,Yes
Trial 48,"(6, 4)","(4, 1)",25,No
Trial 49,"(4, 1)","(2, 3)",20,No
Trial 50,"(5, 4)","(1, 5)",25,Yes
Trial 51,"(1, 3)","(5, 2)",25,Yes
Trial 52,"(1, 6)","(7, 2)",50,No
Trial 53,"(1, 1)","(5, 6)",45,Yes
Trial 54,"(4, 5)","(8, 3)",30,No
Trial 55,"(8, 1)","(2, 3)",40,No
Trial 56,"(7, 3)","(1, 3)",30,Yes
Trial 57,"(1, 5)","(7, 1)",50,Yes
Trial 58,"(2, 3)","(5, 5)",25,No
Trial 59,"(5, 1)","(6, 6)",30,Yes
Trial 60,"(8, 2)","(7, 6)",25,Yes
Trial 61,"(3, 5)","(7, 6)",25,Yes
Trial 62,"(8, 4)","(2, 1)",45,Yes
Trial 63,"(5, 1)","(8, 2)",20,No
Trial 64,"(7, 1)","(2, 6)",50,Yes
Trial 65,"(1, 3)","(7, 4)",35,Yes
Trial 66,"(1, 3)","(3, 5)",20,Yes
Trial 67,"(2, 1)","(5, 4)",30,Yes
Trial 68,"(6, 2)","(6, 6)",20,Yes
Trial 69,"(4, 4)","(7, 3)",20,No
Trial 70,"(4, 6)","(4, 1)",25,No
Trial 71,"(5, 5)","(2, 3)",25,No
Trial 72,"(3, 4)","(8, 4)",25,Yes
Trial 73,"(6, 4)","(4, 6)",20,No
Trial 74,"(5, 5)","(6, 2)",20,Yes
Trial 75,"(1, 5)","(3, 1)",30,Yes
Trial 76,"(5, 2)","(2, 3)",20,No
Trial 77,"(5, 3)","(4, 6)",20,No
Trial 78,"(6, 3)","(4, 1)",20,Yes
Trial 79,"(4, 1)","(3, 5)",25,Yes
Trial 80,"(7, 1)","(2, 4)",40,No
Trial 81,"(6, 5)","(5, 2)",20,Yes
Trial 82,"(7, 3)","(2, 6)",40,Yes
Trial 83,"(3, 3)","(8, 6)",40,Yes
Trial 84,"(3, 1)","(1, 3)",20,No
Trial 85,"(7, 5)","(3, 6)",25,Yes
Trial 86,"(2, 4)","(6, 2)",30,No
Trial 87,"(8, 4)","(2, 2)",40,No
Trial 88,"(3, 2)","(7, 5)",35,Yes
Trial 89,"(4, 1)","(8, 1)",20,No
Trial 90,"(8, 2)","(5, 1)",20,Yes
Trial 91,"(1, 3)","(7, 4)",35,No
Trial 92,"(8, 1)","(7, 5)",25,No
Trial 93,"(2, 6)","(3, 1)",30,Yes
Trial 94,"(8, 6)","(3, 3)",40,Yes
Trial 95,"(3, 1)","(8, 3)",35,No
Trial 96,"(5, 1)","(2, 4)",30,Yes
Trial 97,"(1, 6)","(5, 3)",35,No
Trial 98,"(6, 2)","(2, 3)",25,Yes
Trial 99,"(8, 3)","(6, 1)",20,Yes
