Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(4, 2)","(2, 6)",30,No
Trial 1,"(3, 4)","(2, 1)",20,Yes
Trial 2,"(2, 1)","(7, 4)",40,No
Trial 3,"(6, 3)","(2, 6)",35,Yes
Trial 4,"(1, 1)","(6, 5)",45,Yes
Trial 5,"(3, 1)","(5, 6)",35,Yes
Trial 6,"(6, 1)","(7, 4)",20,No
Trial 7,"(1, 1)","(4, 6)",40,Yes
Trial 8,"(2, 2)","(5, 5)",30,Yes
Trial 9,"(4, 5)","(1, 1)",35,Yes
Trial 10,"(6, 2)","(4, 5)",25,Yes
Trial 11,"(3, 1)","(8, 4)",40,Yes
Trial 12,"(2, 2)","(8, 3)",35,Yes
Trial 13,"(3, 5)","(5, 1)",30,Yes
Trial 14,"(6, 5)","(7, 2)",20,Yes
Trial 15,"(4, 3)","(2, 6)",25,Yes
Trial 16,"(8, 1)","(3, 4)",40,Yes
Trial 17,"(8, 2)","(4, 3)",25,Yes
Trial 18,"(8, 6)","(1, 1)",60,Yes
Trial 19,"(1, 1)","(5, 2)",25,No
Trial 20,"(1, 2)","(5, 3)",25,Yes
Trial 21,"(5, 1)","(7, 4)",25,Yes
Trial 22,"(5, 2)","(7, 6)",30,Yes
Trial 23,"(8, 4)","(5, 3)",20,Yes
Trial 24,"(3, 2)","(6, 5)",30,Yes
Trial 25,"(1, 3)","(6, 6)",40,Yes
Trial 26,"(8, 6)","(3, 4)",35,Yes
Trial 27,"(8, 1)","(3, 5)",45,Yes
Trial 28,"(5, 2)","(1, 4)",30,Yes
Trial 29,"(5, 3)","(8, 6)",30,Yes
Trial 30,"(6, 6)","(6, 2)",20,Yes
Trial 31,"(2, 4)","(7, 3)",30,Yes
Trial 32,"(2, 4)","(4, 1)",25,Yes
Trial 33,"(6, 3)","(4, 6)",25,Yes
Trial 34,"(3, 2)","(6, 3)",20,Yes
Trial 35,"(2, 1)","(2, 6)",25,Yes
Trial 36,"(1, 1)","(7, 3)",40,Yes
Trial 37,"(2, 2)","(2, 6)",20,Yes
Trial 38,"(7, 6)","(3, 6)",20,Yes
Trial 39,"(2, 6)","(8, 3)",45,Yes
Trial 40,"(1, 4)","(7, 1)",45,Yes
Trial 41,"(3, 4)","(7, 3)",25,Yes
Trial 42,"(6, 2)","(2, 3)",25,Yes
Trial 43,"(1, 5)","(5, 1)",40,Yes
Trial 44,"(6, 3)","(1, 6)",40,Yes
Trial 45,"(2, 5)","(5, 4)",20,Yes
Trial 46,"(5, 1)","(1, 5)",40,Yes
Trial 47,"(1, 6)","(4, 5)",20,Yes
Trial 48,"(1, 5)","(7, 1)",50,Yes
Trial 49,"(5, 3)","(1, 6)",35,No
Trial 50,"(6, 6)","(8, 1)",35,Yes
Trial 51,"(4, 1)","(3, 5)",25,Yes
Trial 52,"(8, 2)","(3, 6)",45,Yes
Trial 53,"(8, 4)","(1, 4)",35,Yes
Trial 54,"(4, 3)","(1, 1)",25,Yes
Trial 55,"(2, 6)","(7, 2)",45,Yes
Trial 56,"(2, 6)","(3, 2)",25,Yes
Trial 57,"(1, 1)","(4, 2)",20,Yes
Trial 58,"(6, 6)","(1, 1)",50,Yes
Trial 59,"(5, 6)","(2, 4)",25,Yes
Trial 60,"(5, 5)","(7, 2)",25,Yes
Trial 61,"(5, 1)","(6, 5)",25,Yes
Trial 62,"(2, 3)","(5, 4)",20,Yes
Trial 63,"(1, 5)","(5, 5)",20,Yes
Trial 64,"(1, 3)","(6, 2)",30,Yes
Trial 65,"(2, 5)","(8, 6)",35,Yes
Trial 66,"(3, 5)","(8, 5)",25,Yes
Trial 67,"(8, 2)","(2, 6)",50,Yes
Trial 68,"(4, 2)","(8, 2)",20,Yes
Trial 69,"(2, 2)","(3, 6)",25,Yes
Trial 70,"(2, 1)","(8, 1)",30,Yes
Trial 71,"(3, 1)","(4, 6)",30,Yes
Trial 72,"(8, 1)","(1, 4)",50,Yes
Trial 73,"(5, 2)","(1, 2)",20,Yes
Trial 74,"(2, 1)","(5, 4)",30,Yes
Trial 75,"(2, 1)","(7, 1)",25,Yes
Trial 76,"(8, 2)","(7, 6)",25,Yes
Trial 77,"(1, 2)","(7, 4)",40,Yes
Trial 78,"(5, 5)","(7, 1)",30,Yes
Trial 79,"(1, 1)","(8, 5)",55,Yes
Trial 80,"(2, 3)","(5, 5)",25,Yes
Trial 81,"(3, 3)","(1, 1)",20,Yes
Trial 82,"(8, 5)","(4, 6)",25,Yes
Trial 83,"(1, 4)","(7, 2)",40,Yes
Trial 84,"(7, 1)","(3, 2)",25,Yes
Trial 85,"(6, 5)","(2, 4)",25,Yes
Trial 86,"(2, 2)","(5, 6)",35,Yes
Trial 87,"(3, 4)","(1, 1)",25,Yes
Trial 88,"(3, 3)","(1, 5)",20,Yes
Trial 89,"(2, 5)","(3, 2)",20,Yes
Trial 90,"(4, 6)","(7, 3)",30,Yes
Trial 91,"(8, 4)","(3, 4)",25,Yes
Trial 92,"(3, 2)","(8, 5)",40,Yes
Trial 93,"(2, 2)","(6, 1)",25,Yes
Trial 94,"(5, 6)","(4, 1)",30,Yes
Trial 95,"(7, 1)","(2, 2)",30,Yes
Trial 96,"(5, 5)","(1, 1)",40,Yes
Trial 97,"(3, 6)","(5, 4)",20,Yes
Trial 98,"(5, 5)","(8, 4)",20,Yes
Trial 99,"(8, 5)","(2, 4)",35,Yes
