Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(2, 6)","(8, 2)",50,No
Trial 1,"(4, 3)","(7, 4)",20,No
Trial 2,"(3, 3)","(7, 3)",20,No
Trial 3,"(3, 6)","(6, 4)",25,Yes
Trial 4,"(1, 1)","(5, 4)",35,Yes
Trial 5,"(3, 3)","(6, 2)",20,No
Trial 6,"(5, 2)","(8, 3)",20,No
Trial 7,"(7, 4)","(5, 1)",25,No
Trial 8,"(3, 3)","(7, 3)",20,Yes
Trial 9,"(4, 1)","(3, 5)",25,Yes
Trial 10,"(7, 5)","(1, 1)",50,No
Trial 11,"(2, 5)","(1, 2)",20,Yes
Trial 12,"(7, 3)","(1, 3)",30,Yes
Trial 13,"(1, 5)","(4, 4)",20,No
Trial 14,"(7, 5)","(3, 5)",20,Yes
Trial 15,"(2, 6)","(4, 1)",35,No
Trial 16,"(7, 2)","(1, 5)",45,Yes
Trial 17,"(4, 6)","(2, 1)",35,No
Trial 18,"(2, 2)","(6, 4)",30,Yes
Trial 19,"(6, 5)","(6, 1)",20,Yes
Trial 20,"(8, 5)","(3, 5)",25,No
Trial 21,"(6, 1)","(3, 3)",25,No
Trial 22,"(1, 5)","(3, 3)",20,No
Trial 23,"(6, 2)","(3, 3)",20,Yes
Trial 24,"(5, 4)","(7, 1)",25,No
Trial 25,"(4, 6)","(3, 3)",20,No
Trial 26,"(5, 3)","(8, 1)",25,No
Trial 27,"(1, 2)","(4, 5)",30,No
Trial 28,"(7, 2)","(1, 4)",40,No
Trial 29,"(1, 4)","(3, 1)",25,Yes
Trial 30,"(8, 3)","(5, 2)",20,No
Trial 31,"(2, 4)","(8, 4)",30,No
Trial 32,"(3, 4)","(6, 5)",20,Yes
Trial 33,"(3, 6)","(2, 2)",25,No
Trial 34,"(4, 5)","(2, 2)",25,No
Trial 35,"(3, 2)","(8, 6)",45,No
Trial 36,"(2, 4)","(4, 2)",20,No
Trial 37,"(8, 5)","(1, 3)",45,No
Trial 38,"(1, 3)","(3, 5)",20,Yes
Trial 39,"(4, 4)","(8, 4)",20,Yes
Trial 40,"(1, 1)","(4, 2)",20,No
Trial 41,"(1, 4)","(7, 6)",40,No
Trial 42,"(8, 1)","(2, 2)",35,No
Trial 43,"(7, 5)","(3, 5)",20,Yes
Trial 44,"(1, 4)","(6, 3)",30,No
Trial 45,"(8, 4)","(3, 2)",35,No
Trial 46,"(8, 3)","(5, 1)",25,No
Trial 47,"(6, 6)","(2, 3)",35,No
Trial 48,"(7, 1)","(2, 5)",45,No
Trial 49,"(4, 5)","(1, 2)",30,No
Trial 50,"(4, 5)","(8, 6)",25,Yes
Trial 51,"(6, 5)","(7, 1)",25,No
Trial 52,"(1, 4)","(5, 2)",30,No
Trial 53,"(1, 2)","(3, 4)",20,No
Trial 54,"(2, 3)","(5, 1)",25,No
Trial 55,"(1, 2)","(6, 1)",30,Yes
Trial 56,"(3, 3)","(6, 5)",25,No
Trial 57,"(4, 6)","(8, 1)",45,No
Trial 58,"(1, 6)","(8, 4)",45,No
Trial 59,"(7, 6)","(6, 1)",30,Yes
Trial 60,"(8, 4)","(3, 5)",30,Yes
Trial 61,"(1, 1)","(8, 1)",35,No
Trial 62,"(6, 3)","(1, 3)",25,Yes
Trial 63,"(1, 6)","(2, 1)",30,No
Trial 64,"(6, 3)","(2, 1)",30,No
Trial 65,"(3, 3)","(5, 6)",25,No
Trial 66,"(1, 1)","(7, 1)",30,No
Trial 67,"(3, 1)","(7, 1)",20,No
Trial 68,"(6, 6)","(1, 1)",50,No
Trial 69,"(6, 3)","(3, 1)",25,Yes
Trial 70,"(1, 3)","(8, 3)",35,Yes
Trial 71,"(2, 4)","(5, 1)",30,Yes
Trial 72,"(1, 3)","(7, 1)",40,Yes
Trial 73,"(1, 1)","(4, 5)",35,Yes
Trial 74,"(7, 2)","(1, 4)",40,No
Trial 75,"(8, 3)","(1, 1)",45,Yes
Trial 76,"(8, 1)","(6, 4)",25,No
Trial 77,"(2, 3)","(5, 5)",25,No
Trial 78,"(2, 4)","(7, 3)",30,Yes
Trial 79,"(1, 3)","(8, 6)",50,No
Trial 80,"(5, 2)","(8, 5)",30,Yes
Trial 81,"(6, 1)","(2, 3)",30,Yes
Trial 82,"(1, 3)","(7, 3)",30,No
Trial 83,"(8, 2)","(1, 4)",45,No
Trial 84,"(2, 6)","(7, 4)",35,No
Trial 85,"(3, 6)","(6, 2)",35,No
Trial 86,"(5, 2)","(8, 5)",30,No
Trial 87,"(2, 3)","(8, 2)",35,No
Trial 88,"(1, 5)","(5, 5)",20,Yes
Trial 89,"(8, 4)","(2, 5)",35,No
Trial 90,"(6, 2)","(3, 5)",30,Yes
Trial 91,"(7, 5)","(1, 1)",50,No
Trial 92,"(1, 1)","(8, 5)",55,Yes
Trial 93,"(1, 5)","(3, 1)",30,No
Trial 94,"(5, 5)","(4, 1)",25,No
Trial 95,"(5, 6)","(7, 4)",20,No
Trial 96,"(6, 6)","(4, 3)",25,No
Trial 97,"(2, 2)","(4, 5)",25,No
Trial 98,"(7, 1)","(3, 3)",30,Yes
Trial 99,"(2, 1)","(7, 1)",25,Yes
