Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(7, 6)","(5, 3)",25,Yes
Trial 1,"(4, 6)","(6, 4)",20,No
Trial 2,"(8, 1)","(4, 1)",20,No
Trial 3,"(2, 5)","(6, 5)",20,No
Trial 4,"(3, 1)","(7, 1)",20,Yes
Trial 5,"(8, 5)","(3, 3)",35,Yes
Trial 6,"(3, 6)","(3, 2)",20,No
Trial 7,"(1, 2)","(3, 4)",20,No
Trial 8,"(8, 4)","(4, 4)",20,Yes
Trial 9,"(2, 4)","(4, 6)",20,No
Trial 10,"(8, 1)","(3, 6)",50,Yes
Trial 11,"(8, 3)","(3, 6)",40,Yes
Trial 12,"(1, 6)","(3, 1)",35,Yes
Trial 13,"(7, 1)","(4, 2)",20,No
Trial 14,"(6, 2)","(4, 6)",30,Yes
Trial 15,"(7, 3)","(1, 6)",45,No
Trial 16,"(7, 1)","(3, 6)",45,No
Trial 17,"(8, 5)","(2, 6)",35,No
Trial 18,"(7, 5)","(4, 6)",20,Yes
Trial 19,"(4, 1)","(8, 3)",30,No
Trial 20,"(1, 6)","(8, 5)",40,No
Trial 21,"(2, 2)","(8, 4)",40,Yes
Trial 22,"(4, 6)","(1, 5)",20,No
Trial 23,"(4, 6)","(6, 4)",20,No
Trial 24,"(2, 3)","(4, 5)",20,Yes
Trial 25,"(2, 1)","(1, 4)",20,No
Trial 26,"(3, 4)","(6, 1)",30,Yes
Trial 27,"(3, 2)","(8, 2)",25,Yes
Trial 28,"(8, 2)","(6, 4)",20,Yes
Trial 29,"(8, 4)","(1, 6)",45,No
Trial 30,"(3, 1)","(3, 6)",25,Yes
Trial 31,"(6, 6)","(1, 4)",35,No
Trial 32,"(1, 2)","(7, 3)",35,Yes
Trial 33,"(1, 5)","(4, 1)",35,Yes
Trial 34,"(4, 6)","(5, 1)",30,Yes
Trial 35,"(1, 3)","(7, 2)",35,Yes
Trial 36,"(3, 3)","(6, 2)",20,Yes
Trial 37,"(3, 5)","(6, 4)",20,Yes
Trial 38,"(8, 2)","(6, 4)",20,Yes
Trial 39,"(4, 1)","(1, 5)",35,No
Trial 40,"(1, 6)","(6, 4)",35,Yes
Trial 41,"(7, 1)","(8, 4)",20,Yes
Trial 42,"(7, 1)","(4, 2)",20,No
Trial 43,"(2, 4)","(7, 2)",35,No
Trial 44,"(4, 1)","(7, 3)",25,Yes
Trial 45,"(3, 1)","(4, 6)",30,Yes
Trial 46,"(8, 3)","(5, 5)",25,No
Trial 47,"(4, 6)","(7, 5)",20,No
Trial 48,"(7, 2)","(7, 6)",20,No
Trial 49,"(4, 6)","(2, 1)",35,Yes
Trial 50,"(1, 1)","(4, 2)",20,No
Trial 51,"(2, 6)","(7, 5)",30,No
Trial 52,"(4, 1)","(4, 5)",20,No
Trial 53,"(4, 3)","(7, 6)",30,Yes
Trial 54,"(2, 1)","(4, 5)",30,Yes
Trial 55,"(8, 6)","(1, 4)",45,No
Trial 56,"(3, 5)","(7, 3)",30,Yes
Trial 57,"(4, 2)","(4, 6)",20,Yes
Trial 58,"(2, 4)","(4, 1)",25,No
Trial 59,"(4, 2)","(3, 5)",20,Yes
Trial 60,"(4, 3)","(1, 4)",20,No
Trial 61,"(2, 4)","(8, 4)",30,Yes
Trial 62,"(4, 1)","(5, 5)",25,Yes
Trial 63,"(5, 2)","(7, 6)",30,Yes
Trial 64,"(4, 6)","(4, 1)",25,Yes
Trial 65,"(2, 5)","(7, 3)",35,Yes
Trial 66,"(7, 2)","(1, 1)",35,Yes
Trial 67,"(4, 1)","(8, 1)",20,Yes
Trial 68,"(5, 2)","(7, 5)",25,No
Trial 69,"(1, 3)","(5, 1)",30,No
Trial 70,"(5, 1)","(4, 5)",25,Yes
Trial 71,"(4, 4)","(6, 2)",20,No
Trial 72,"(1, 6)","(5, 5)",25,No
Trial 73,"(8, 5)","(5, 2)",30,Yes
Trial 74,"(1, 3)","(8, 3)",35,No
Trial 75,"(7, 6)","(1, 4)",40,Yes
Trial 76,"(3, 5)","(7, 6)",25,No
Trial 77,"(5, 3)","(3, 5)",20,Yes
Trial 78,"(5, 2)","(1, 4)",30,No
Trial 79,"(4, 2)","(3, 5)",20,No
Trial 80,"(5, 6)","(1, 3)",35,Yes
Trial 81,"(8, 1)","(7, 6)",30,Yes
Trial 82,"(7, 1)","(1, 6)",55,No
Trial 83,"(6, 2)","(2, 6)",40,No
Trial 84,"(2, 3)","(6, 5)",30,Yes
Trial 85,"(3, 1)","(2, 4)",20,No
Trial 86,"(1, 3)","(6, 1)",35,No
Trial 87,"(1, 4)","(8, 5)",40,Yes
Trial 88,"(4, 4)","(1, 6)",25,No
Trial 89,"(8, 2)","(3, 1)",30,No
Trial 90,"(1, 3)","(5, 2)",25,Yes
Trial 91,"(4, 2)","(2, 4)",20,No
Trial 92,"(2, 5)","(6, 4)",25,No
Trial 93,"(8, 6)","(4, 4)",30,No
Trial 94,"(1, 3)","(3, 5)",20,No
Trial 95,"(8, 2)","(6, 5)",25,Yes
Trial 96,"(4, 1)","(8, 4)",35,No
Trial 97,"(4, 3)","(7, 4)",20,Yes
Trial 98,"(2, 6)","(8, 2)",50,No
Trial 99,"(3, 5)","(7, 5)",20,Yes
