Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(3, 6)","(4, 3)",20,No
Trial 1,"(5, 4)","(1, 5)",25,No
Trial 2,"(8, 5)","(1, 5)",35,Yes
Trial 3,"(3, 3)","(4, 6)",20,No
Trial 4,"(6, 4)","(2, 3)",25,No
Trial 5,"(3, 1)","(7, 4)",35,No
Trial 6,"(7, 1)","(6, 4)",20,No
Trial 7,"(3, 3)","(1, 5)",20,No
Trial 8,"(2, 6)","(4, 2)",30,No
Trial 9,"(8, 6)","(1, 2)",55,No
Trial 10,"(6, 6)","(6, 2)",20,No
Trial 11,"(4, 2)","(7, 6)",35,No
Trial 12,"(7, 4)","(2, 5)",30,No
Trial 13,"(8, 6)","(1, 3)",50,No
Trial 14,"(2, 3)","(6, 4)",25,No
Trial 15,"(7, 3)","(1, 6)",45,No
Trial 16,"(2, 6)","(5, 3)",30,No
Trial 17,"(3, 5)","(6, 3)",25,No
Trial 18,"(6, 1)","(3, 5)",35,No
Trial 19,"(6, 1)","(1, 3)",35,No
Trial 20,"(2, 5)","(8, 5)",30,No
Trial 21,"(5, 1)","(7, 6)",35,No
Trial 22,"(1, 1)","(5, 2)",25,No
Trial 23,"(8, 4)","(1, 2)",45,No
Trial 24,"(5, 6)","(5, 1)",25,Yes
Trial 25,"(6, 6)","(2, 6)",20,No
Trial 26,"(8, 2)","(1, 3)",40,Yes
Trial 27,"(2, 1)","(8, 6)",55,Yes
Trial 28,"(5, 5)","(1, 4)",25,No
Trial 29,"(8, 1)","(7, 5)",25,No
Trial 30,"(5, 1)","(2, 2)",20,No
Trial 31,"(7, 4)","(1, 3)",35,No
Trial 32,"(8, 4)","(6, 6)",20,No
Trial 33,"(1, 2)","(8, 1)",40,Yes
Trial 34,"(5, 6)","(3, 4)",20,No
Trial 35,"(3, 6)","(6, 5)",20,No
Trial 36,"(7, 5)","(4, 3)",25,No
Trial 37,"(1, 2)","(8, 3)",40,No
Trial 38,"(8, 5)","(5, 1)",35,No
Trial 39,"(3, 1)","(6, 4)",30,No
Trial 40,"(1, 4)","(7, 4)",30,No
Trial 41,"(8, 2)","(3, 6)",45,No
Trial 42,"(1, 5)","(3, 3)",20,No
Trial 43,"(7, 1)","(8, 4)",20,No
Trial 44,"(1, 6)","(5, 4)",30,No
Trial 45,"(3, 2)","(5, 4)",20,No
Trial 46,"(3, 6)","(8, 4)",35,No
Trial 47,"(4, 4)","(6, 2)",20,No
Trial 48,"(6, 5)","(1, 2)",40,No
Trial 49,"(3, 3)","(6, 6)",30,No
Trial 50,"(4, 1)","(4, 5)",20,No
Trial 51,"(3, 2)","(7, 1)",25,No
Trial 52,"(5, 5)","(7, 1)",30,No
Trial 53,"(8, 1)","(1, 1)",35,No
Trial 54,"(4, 3)","(8, 4)",25,Yes
Trial 55,"(6, 1)","(3, 6)",40,No
Trial 56,"(3, 6)","(1, 2)",30,No
Trial 57,"(3, 3)","(7, 3)",20,No
Trial 58,"(6, 3)","(1, 5)",35,No
Trial 59,"(1, 2)","(8, 1)",40,No
Trial 60,"(7, 4)","(1, 5)",35,No
Trial 61,"(4, 4)","(6, 2)",20,No
Trial 62,"(1, 4)","(7, 6)",40,No
Trial 63,"(5, 2)","(1, 3)",25,No
Trial 64,"(6, 4)","(8, 1)",25,No
Trial 65,"(6, 1)","(2, 6)",45,No
Trial 66,"(6, 2)","(2, 3)",25,No
Trial 67,"(3, 3)","(4, 6)",20,No
Trial 68,"(4, 4)","(6, 1)",25,No
Trial 69,"(2, 3)","(3, 6)",20,No
Trial 70,"(1, 4)","(6, 4)",25,No
Trial 71,"(8, 1)","(5, 3)",25,No
Trial 72,"(8, 5)","(2, 6)",35,No
Trial 73,"(1, 6)","(6, 5)",30,No
Trial 74,"(3, 5)","(5, 3)",20,No
Trial 75,"(4, 5)","(5, 1)",25,No
Trial 76,"(1, 3)","(4, 1)",25,No
Trial 77,"(1, 1)","(8, 4)",50,No
Trial 78,"(4, 4)","(7, 5)",20,No
Trial 79,"(4, 3)","(7, 2)",20,No
Trial 80,"(5, 5)","(7, 3)",20,No
Trial 81,"(6, 6)","(2, 1)",45,No
Trial 82,"(8, 4)","(2, 3)",35,Yes
Trial 83,"(7, 4)","(6, 1)",20,No
Trial 84,"(3, 3)","(8, 1)",35,No
Trial 85,"(3, 1)","(8, 6)",50,No
Trial 86,"(5, 1)","(3, 4)",25,No
Trial 87,"(7, 1)","(3, 1)",20,No
Trial 88,"(5, 4)","(7, 6)",20,No
Trial 89,"(1, 2)","(5, 4)",30,No
Trial 90,"(4, 1)","(2, 5)",30,No
Trial 91,"(3, 6)","(8, 5)",30,No
Trial 92,"(1, 1)","(3, 3)",20,No
Trial 93,"(6, 1)","(4, 6)",35,No
Trial 94,"(8, 5)","(3, 5)",25,No
Trial 95,"(5, 2)","(1, 4)",30,No
Trial 96,"(5, 3)","(8, 1)",25,No
Trial 97,"(3, 2)","(1, 5)",25,No
Trial 98,"(6, 3)","(2, 5)",30,No
Trial 99,"(7, 4)","(4, 6)",25,No
