Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(7, 1)","(8, 4)",20,No
Trial 1,"(4, 1)","(6, 4)",25,No
Trial 2,"(2, 1)","(3, 5)",25,No
Trial 3,"(1, 1)","(6, 3)",35,No
Trial 4,"(2, 4)","(6, 5)",25,No
Trial 5,"(7, 3)","(4, 5)",25,No
Trial 6,"(7, 2)","(1, 5)",45,No
Trial 7,"(1, 6)","(7, 5)",35,No
Trial 8,"(7, 5)","(6, 2)",20,No
Trial 9,"(5, 1)","(3, 5)",30,No
Trial 10,"(7, 4)","(4, 3)",20,No
Trial 11,"(5, 2)","(5, 6)",20,Yes
Trial 12,"(1, 5)","(2, 2)",20,No
Trial 13,"(2, 4)","(6, 1)",35,No
Trial 14,"(6, 4)","(4, 6)",20,No
Trial 15,"(8, 1)","(6, 5)",30,No
Trial 16,"(3, 1)","(2, 6)",30,No
Trial 17,"(3, 1)","(2, 4)",20,No
Trial 18,"(8, 4)","(1, 4)",35,Yes
Trial 19,"(5, 5)","(8, 3)",25,No
Trial 20,"(8, 5)","(6, 3)",20,No
Trial 21,"(1, 2)","(6, 6)",45,No
Trial 22,"(3, 2)","(8, 4)",35,No
Trial 23,"(1, 6)","(4, 4)",25,No
Trial 24,"(1, 3)","(4, 5)",25,No
Trial 25,"(5, 3)","(8, 4)",20,No
Trial 26,"(5, 6)","(7, 2)",30,No
Trial 27,"(6, 2)","(3, 5)",30,No
Trial 28,"(4, 5)","(6, 1)",30,No
Trial 29,"(6, 2)","(5, 6)",25,No
Trial 30,"(4, 2)","(1, 1)",20,No
Trial 31,"(8, 5)","(4, 6)",25,No
Trial 32,"(5, 1)","(8, 5)",35,No
Trial 33,"(5, 2)","(6, 6)",25,No
Trial 34,"(6, 4)","(3, 2)",25,No
Trial 35,"(6, 5)","(3, 1)",35,No
Trial 36,"(5, 3)","(3, 5)",20,No
Trial 37,"(3, 3)","(8, 4)",30,Yes
Trial 38,"(4, 6)","(7, 1)",40,No
Trial 39,"(6, 5)","(7, 1)",25,No
Trial 40,"(4, 4)","(7, 1)",30,No
Trial 41,"(8, 1)","(4, 2)",25,No
Trial 42,"(1, 4)","(5, 3)",25,No
Trial 43,"(7, 1)","(2, 6)",50,Yes
Trial 44,"(6, 3)","(1, 3)",25,Yes
Trial 45,"(6, 6)","(4, 3)",25,No
Trial 46,"(2, 1)","(7, 1)",25,No
Trial 47,"(2, 1)","(6, 6)",45,No
Trial 48,"(8, 1)","(3, 2)",30,No
Trial 49,"(5, 3)","(3, 6)",25,No
Trial 50,"(7, 6)","(3, 4)",30,No
Trial 51,"(3, 3)","(8, 1)",35,No
Trial 52,"(2, 4)","(7, 1)",40,No
Trial 53,"(3, 1)","(7, 3)",30,No
Trial 54,"(3, 6)","(8, 2)",45,No
Trial 55,"(4, 4)","(2, 1)",25,No
Trial 56,"(1, 6)","(6, 1)",50,No
Trial 57,"(6, 3)","(4, 6)",25,No
Trial 58,"(5, 1)","(8, 2)",20,No
Trial 59,"(4, 3)","(7, 2)",20,No
Trial 60,"(5, 1)","(2, 5)",35,No
Trial 61,"(7, 5)","(1, 3)",40,No
Trial 62,"(8, 4)","(1, 3)",40,No
Trial 63,"(7, 4)","(8, 1)",20,No
Trial 64,"(2, 1)","(8, 5)",50,No
Trial 65,"(7, 1)","(7, 6)",25,No
Trial 66,"(8, 1)","(5, 4)",30,No
Trial 67,"(3, 2)","(5, 6)",30,No
Trial 68,"(2, 2)","(7, 2)",25,No
Trial 69,"(1, 1)","(5, 5)",40,No
Trial 70,"(1, 2)","(2, 6)",25,No
Trial 71,"(8, 4)","(4, 5)",25,No
Trial 72,"(1, 1)","(7, 5)",50,No
Trial 73,"(4, 3)","(2, 1)",20,No
Trial 74,"(8, 1)","(4, 6)",45,No
Trial 75,"(3, 4)","(1, 2)",20,Yes
Trial 76,"(8, 2)","(2, 5)",45,No
Trial 77,"(2, 4)","(3, 1)",20,No
Trial 78,"(8, 5)","(8, 1)",20,Yes
Trial 79,"(3, 6)","(7, 1)",45,No
Trial 80,"(8, 2)","(5, 5)",30,No
Trial 81,"(3, 2)","(7, 3)",25,No
Trial 82,"(7, 5)","(1, 6)",35,No
Trial 83,"(2, 5)","(7, 3)",35,No
Trial 84,"(7, 2)","(2, 6)",45,No
Trial 85,"(6, 4)","(3, 5)",20,No
Trial 86,"(3, 3)","(5, 5)",20,No
Trial 87,"(1, 1)","(6, 5)",45,No
Trial 88,"(1, 6)","(6, 4)",35,No
Trial 89,"(3, 1)","(7, 2)",25,No
Trial 90,"(1, 1)","(2, 6)",30,No
Trial 91,"(8, 5)","(6, 2)",25,No
Trial 92,"(8, 4)","(1, 6)",45,No
Trial 93,"(2, 3)","(5, 1)",25,No
Trial 94,"(2, 6)","(5, 2)",35,No
Trial 95,"(6, 1)","(4, 4)",25,No
Trial 96,"(2, 6)","(5, 3)",30,No
Trial 97,"(3, 5)","(8, 5)",25,No
Trial 98,"(5, 1)","(1, 2)",25,No
Trial 99,"(1, 6)","(7, 2)",50,No
