Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(4, 6)","(6, 4)",20,No
Trial 1,"(6, 5)","(3, 1)",35,Yes
Trial 2,"(6, 4)","(1, 3)",30,Yes
Trial 3,"(8, 3)","(1, 5)",45,No
Trial 4,"(8, 1)","(7, 4)",20,Yes
Trial 5,"(7, 1)","(5, 4)",25,No
Trial 6,"(1, 1)","(1, 5)",20,No
Trial 7,"(2, 6)","(6, 2)",40,No
Trial 8,"(7, 2)","(4, 5)",30,Yes
Trial 9,"(4, 1)","(4, 6)",25,Yes
Trial 10,"(3, 6)","(7, 2)",40,No
Trial 11,"(8, 1)","(1, 4)",50,No
Trial 12,"(3, 6)","(1, 4)",20,No
Trial 13,"(1, 4)","(8, 2)",45,No
Trial 14,"(8, 6)","(4, 3)",35,No
Trial 15,"(7, 6)","(5, 3)",25,Yes
Trial 16,"(6, 5)","(8, 1)",30,No
Trial 17,"(1, 3)","(3, 1)",20,Yes
Trial 18,"(6, 3)","(1, 6)",40,No
Trial 19,"(4, 2)","(8, 5)",35,Yes
Trial 20,"(6, 5)","(1, 4)",30,Yes
Trial 21,"(1, 5)","(1, 1)",20,No
Trial 22,"(4, 6)","(3, 3)",20,No
Trial 23,"(6, 1)","(4, 3)",20,No
Trial 24,"(6, 2)","(1, 2)",25,Yes
Trial 25,"(6, 1)","(1, 5)",45,No
Trial 26,"(3, 2)","(5, 4)",20,Yes
Trial 27,"(5, 3)","(2, 2)",20,No
Trial 28,"(2, 3)","(7, 6)",40,Yes
Trial 29,"(2, 4)","(8, 3)",35,No
Trial 30,"(5, 2)","(1, 5)",35,No
Trial 31,"(3, 4)","(1, 1)",25,No
Trial 32,"(8, 5)","(5, 6)",20,No
Trial 33,"(3, 5)","(3, 1)",20,Yes
Trial 34,"(2, 5)","(7, 2)",40,No
Trial 35,"(8, 6)","(4, 3)",35,Yes
Trial 36,"(6, 2)","(2, 3)",25,No
Trial 37,"(6, 5)","(2, 4)",25,Yes
Trial 38,"(6, 4)","(4, 1)",25,Yes
Trial 39,"(5, 1)","(5, 5)",20,No
Trial 40,"(8, 5)","(1, 1)",55,Yes
Trial 41,"(4, 2)","(5, 6)",25,No
Trial 42,"(5, 1)","(2, 4)",30,No
Trial 43,"(4, 4)","(2, 6)",20,No
Trial 44,"(4, 5)","(5, 2)",20,Yes
Trial 45,"(1, 6)","(7, 5)",35,Yes
Trial 46,"(4, 1)","(7, 2)",20,Yes
Trial 47,"(8, 4)","(5, 1)",30,Yes
Trial 48,"(5, 6)","(7, 4)",20,Yes
Trial 49,"(3, 2)","(1, 6)",30,No
Trial 50,"(2, 4)","(5, 6)",25,No
Trial 51,"(3, 5)","(4, 1)",25,No
Trial 52,"(8, 5)","(2, 5)",30,Yes
Trial 53,"(1, 5)","(7, 6)",35,Yes
Trial 54,"(3, 4)","(8, 3)",30,No
Trial 55,"(5, 4)","(7, 6)",20,Yes
Trial 56,"(7, 5)","(4, 6)",20,Yes
Trial 57,"(7, 2)","(8, 6)",25,Yes
Trial 58,"(8, 3)","(4, 6)",35,Yes
Trial 59,"(2, 6)","(2, 2)",20,Yes
Trial 60,"(8, 2)","(2, 6)",50,No
Trial 61,"(8, 5)","(5, 6)",20,No
Trial 62,"(5, 6)","(1, 4)",30,Yes
Trial 63,"(5, 3)","(2, 4)",20,Yes
Trial 64,"(2, 2)","(8, 6)",50,Yes
Trial 65,"(1, 3)","(4, 2)",20,No
Trial 66,"(4, 4)","(6, 2)",20,No
Trial 67,"(5, 2)","(7, 6)",30,Yes
Trial 68,"(3, 3)","(1, 6)",25,No
Trial 69,"(1, 5)","(8, 2)",50,No
Trial 70,"(8, 6)","(1, 6)",35,Yes
Trial 71,"(1, 1)","(5, 3)",30,Yes
Trial 72,"(8, 5)","(2, 5)",30,No
Trial 73,"(1, 2)","(7, 4)",40,No
Trial 74,"(8, 4)","(5, 3)",20,Yes
Trial 75,"(8, 1)","(4, 6)",45,Yes
Trial 76,"(2, 6)","(8, 4)",40,No
Trial 77,"(2, 3)","(7, 2)",30,Yes
Trial 78,"(3, 6)","(8, 1)",50,No
Trial 79,"(8, 2)","(5, 5)",30,No
Trial 80,"(1, 2)","(4, 4)",25,Yes
Trial 81,"(2, 6)","(3, 1)",30,Yes
Trial 82,"(5, 2)","(8, 1)",20,No
Trial 83,"(6, 3)","(1, 4)",30,Yes
Trial 84,"(1, 2)","(7, 2)",30,Yes
Trial 85,"(6, 3)","(3, 5)",25,No
Trial 86,"(3, 5)","(5, 2)",25,No
Trial 87,"(5, 5)","(7, 2)",25,Yes
Trial 88,"(6, 6)","(3, 5)",20,No
Trial 89,"(8, 2)","(4, 5)",35,Yes
Trial 90,"(2, 5)","(8, 6)",35,Yes
Trial 91,"(2, 6)","(5, 4)",25,No
Trial 92,"(7, 1)","(3, 4)",35,No
Trial 93,"(1, 3)","(2, 6)",20,Yes
Trial 94,"(1, 2)","(4, 3)",20,Yes
Trial 95,"(1, 3)","(5, 2)",25,Yes
Trial 96,"(7, 6)","(1, 4)",40,Yes
Trial 97,"(5, 6)","(6, 2)",25,No
Trial 98,"(3, 6)","(8, 1)",50,No
Trial 99,"(5, 3)","(2, 1)",25,No
