Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(6, 2)","(3, 6)",35,No
Trial 1,"(1, 1)","(6, 1)",25,Yes
Trial 2,"(7, 5)","(4, 4)",20,Yes
Trial 3,"(2, 5)","(8, 6)",35,Yes
Trial 4,"(3, 2)","(3, 6)",20,No
Trial 5,"(2, 1)","(6, 6)",45,Yes
Trial 6,"(8, 2)","(5, 4)",25,No
Trial 7,"(3, 6)","(7, 6)",20,Yes
Trial 8,"(7, 6)","(6, 1)",30,Yes
Trial 9,"(4, 1)","(1, 2)",20,Yes
Trial 10,"(4, 4)","(8, 2)",30,No
Trial 11,"(8, 1)","(3, 5)",45,Yes
Trial 12,"(8, 6)","(5, 2)",35,Yes
Trial 13,"(8, 3)","(4, 4)",25,Yes
Trial 14,"(2, 2)","(7, 1)",30,Yes
Trial 15,"(1, 2)","(7, 3)",35,Yes
Trial 16,"(6, 6)","(1, 1)",50,Yes
Trial 17,"(7, 5)","(3, 3)",30,Yes
Trial 18,"(2, 1)","(8, 4)",45,Yes
Trial 19,"(8, 4)","(3, 3)",30,Yes
Trial 20,"(5, 6)","(3, 1)",35,Yes
Trial 21,"(3, 3)","(2, 6)",20,No
Trial 22,"(7, 4)","(1, 5)",35,Yes
Trial 23,"(6, 1)","(8, 4)",25,No
Trial 24,"(8, 1)","(5, 4)",30,Yes
Trial 25,"(8, 6)","(5, 4)",25,No
Trial 26,"(8, 4)","(4, 1)",35,Yes
Trial 27,"(2, 3)","(5, 5)",25,Yes
Trial 28,"(7, 5)","(6, 1)",25,Yes
Trial 29,"(3, 1)","(2, 6)",30,Yes
Trial 30,"(1, 6)","(6, 1)",50,Yes
Trial 31,"(5, 1)","(4, 6)",30,Yes
Trial 32,"(3, 4)","(7, 2)",30,No
Trial 33,"(1, 4)","(8, 4)",35,Yes
Trial 34,"(8, 5)","(5, 2)",30,Yes
Trial 35,"(4, 6)","(7, 4)",25,Yes
Trial 36,"(2, 6)","(1, 2)",25,Yes
Trial 37,"(1, 6)","(4, 5)",20,No
Trial 38,"(2, 1)","(8, 6)",55,Yes
Trial 39,"(3, 1)","(2, 5)",25,No
Trial 40,"(8, 6)","(4, 1)",45,Yes
Trial 41,"(5, 3)","(1, 2)",25,Yes
Trial 42,"(1, 6)","(4, 1)",40,Yes
Trial 43,"(4, 4)","(7, 2)",25,Yes
Trial 44,"(4, 3)","(5, 6)",20,Yes
Trial 45,"(2, 6)","(8, 4)",40,Yes
Trial 46,"(3, 2)","(6, 6)",35,Yes
Trial 47,"(3, 1)","(5, 4)",25,Yes
Trial 48,"(5, 2)","(1, 3)",25,Yes
Trial 49,"(1, 4)","(6, 4)",25,Yes
Trial 50,"(1, 6)","(4, 1)",40,Yes
Trial 51,"(8, 6)","(2, 2)",50,Yes
Trial 52,"(1, 4)","(6, 2)",35,No
Trial 53,"(2, 4)","(7, 3)",30,Yes
Trial 54,"(6, 5)","(3, 4)",20,Yes
Trial 55,"(5, 2)","(2, 1)",20,Yes
Trial 56,"(7, 4)","(1, 6)",40,No
Trial 57,"(4, 4)","(1, 6)",25,No
Trial 58,"(8, 6)","(5, 1)",40,Yes
Trial 59,"(2, 1)","(5, 4)",30,Yes
Trial 60,"(1, 6)","(3, 1)",35,Yes
Trial 61,"(7, 5)","(2, 6)",30,Yes
Trial 62,"(4, 5)","(2, 3)",20,No
Trial 63,"(5, 5)","(6, 1)",25,No
Trial 64,"(1, 5)","(4, 6)",20,Yes
Trial 65,"(4, 1)","(8, 3)",30,Yes
Trial 66,"(3, 3)","(1, 1)",20,Yes
Trial 67,"(8, 1)","(4, 2)",25,No
Trial 68,"(2, 1)","(2, 6)",25,Yes
Trial 69,"(8, 1)","(2, 2)",35,Yes
Trial 70,"(3, 2)","(7, 2)",20,Yes
Trial 71,"(5, 1)","(8, 5)",35,Yes
Trial 72,"(7, 4)","(3, 6)",30,No
Trial 73,"(2, 4)","(4, 1)",25,No
Trial 74,"(6, 5)","(8, 2)",25,No
Trial 75,"(4, 2)","(1, 6)",35,No
Trial 76,"(4, 2)","(8, 4)",30,Yes
Trial 77,"(3, 4)","(5, 2)",20,No
Trial 78,"(5, 4)","(7, 6)",20,Yes
Trial 79,"(6, 1)","(2, 3)",30,No
Trial 80,"(4, 6)","(6, 3)",25,No
Trial 81,"(6, 6)","(2, 4)",30,Yes
Trial 82,"(4, 4)","(8, 2)",30,No
Trial 83,"(6, 6)","(5, 3)",20,Yes
Trial 84,"(5, 4)","(1, 4)",20,Yes
Trial 85,"(6, 1)","(8, 3)",20,Yes
Trial 86,"(4, 4)","(7, 5)",20,Yes
Trial 87,"(3, 1)","(5, 6)",35,Yes
Trial 88,"(4, 2)","(2, 6)",30,No
Trial 89,"(5, 4)","(3, 2)",20,Yes
Trial 90,"(7, 1)","(2, 6)",50,Yes
Trial 91,"(6, 1)","(1, 3)",35,No
Trial 92,"(8, 1)","(5, 3)",25,Yes
Trial 93,"(8, 5)","(5, 2)",30,Yes
Trial 94,"(1, 5)","(5, 4)",25,No
Trial 95,"(4, 6)","(8, 5)",25,Yes
Trial 96,"(7, 3)","(5, 1)",20,Yes
Trial 97,"(4, 2)","(5, 5)",20,Yes
Trial 98,"(2, 1)","(7, 6)",50,Yes
Trial 99,"(2, 4)","(5, 2)",25,No
